Datos provenientes de SR865 
F,X,Y,R,T,
+1.210000e+05,+6.023910e-01,-4.918140e-01,+7.776605e-01,-3.922945e+01,
+1.220000e+05,+5.984420e-01,-4.925602e-01,+7.750795e-01,-3.945679e+01,
+1.230000e+05,+5.944737e-01,-4.932406e-01,+7.724540e-01,-3.968282e+01,
+1.240000e+05,+5.906179e-01,-4.939575e-01,+7.699503e-01,-3.990710e+01,
+1.250000e+05,+5.867991e-01,-4.946578e-01,+7.674761e-01,-4.013010e+01,
+1.260000e+05,+5.829138e-01,-4.952482e-01,+7.648917e-01,-4.035149e+01,
+1.270000e+05,+5.791313e-01,-4.958751e-01,+7.624207e-01,-4.057145e+01,
+1.280000e+05,+5.752862e-01,-4.963930e-01,+7.598422e-01,-4.078968e+01,
+1.290000e+05,+5.714811e-01,-4.968914e-01,+7.572924e-01,-4.100631e+01,
+1.300000e+05,+5.676910e-01,-4.973558e-01,+7.547423e-01,-4.122169e+01,
+1.310000e+05,+5.639551e-01,-4.978147e-01,+7.522399e-01,-4.143550e+01,
+1.320000e+05,+5.602492e-01,-4.982512e-01,+7.497556e-01,-4.164793e+01,
+1.330000e+05,+5.565876e-01,-4.986763e-01,+7.473070e-01,-4.185884e+01,
+1.340000e+05,+5.529107e-01,-4.990417e-01,+7.448173e-01,-4.206852e+01,
+1.350000e+05,+5.492375e-01,-4.993593e-01,+7.423083e-01,-4.227668e+01,
+1.360000e+05,+5.455383e-01,-4.996038e-01,+7.397405e-01,-4.248344e+01,
+1.370000e+05,+5.419562e-01,-4.999033e-01,+7.373058e-01,-4.268861e+01,
+1.380000e+05,+5.384699e-01,-5.002447e-01,+7.349794e-01,-4.289244e+01,
+1.390000e+05,+5.348529e-01,-5.004157e-01,+7.324503e-01,-4.309482e+01,
+1.400000e+05,+5.313892e-01,-5.006840e-01,+7.301087e-01,-4.329589e+01,
+1.410000e+05,+5.278381e-01,-5.008247e-01,+7.276253e-01,-4.349572e+01,
+1.420000e+05,+5.243459e-01,-5.009741e-01,+7.251990e-01,-4.369419e+01,
+1.430000e+05,+5.208873e-01,-5.011096e-01,+7.227963e-01,-4.389135e+01,
+1.440000e+05,+5.174140e-01,-5.011817e-01,+7.203473e-01,-4.408701e+01,
+1.450000e+05,+5.140274e-01,-5.012948e-01,+7.179976e-01,-4.428152e+01,
+1.460000e+05,+5.105833e-01,-5.013056e-01,+7.155436e-01,-4.447468e+01,
+1.470000e+05,+5.071892e-01,-5.013190e-01,+7.131351e-01,-4.466650e+01,
+1.480000e+05,+5.038360e-01,-5.013276e-01,+7.107602e-01,-4.485702e+01,
+1.490000e+05,+5.004833e-01,-5.012938e-01,+7.083637e-01,-4.504635e+01,
+1.500000e+05,+4.972313e-01,-5.013143e-01,+7.060843e-01,-4.523427e+01,
+1.510000e+05,+4.940297e-01,-5.013461e-01,+7.038559e-01,-4.542113e+01,
+1.520000e+05,+4.908211e-01,-5.013251e-01,+7.015927e-01,-4.560658e+01,
+1.530000e+05,+4.875344e-01,-5.011813e-01,+6.991942e-01,-4.579078e+01,
+1.540000e+05,+4.843163e-01,-5.010635e-01,+6.968694e-01,-4.597369e+01,
+1.550000e+05,+4.810931e-01,-5.008971e-01,+6.945131e-01,-4.615533e+01,
+1.560000e+05,+4.779500e-01,-5.007730e-01,+6.922498e-01,-4.633584e+01,
+1.570000e+05,+4.748071e-01,-5.006061e-01,+6.899624e-01,-4.651508e+01,
+1.580000e+05,+4.716446e-01,-5.003762e-01,+6.876227e-01,-4.669310e+01,
+1.590000e+05,+4.685684e-01,-5.001978e-01,+6.853862e-01,-4.687000e+01,
+1.600000e+05,+4.654764e-01,-4.999579e-01,+6.831005e-01,-4.704551e+01,
+1.610000e+05,+4.624110e-01,-4.997094e-01,+6.808329e-01,-4.722007e+01,
+1.620000e+05,+4.593090e-01,-4.993786e-01,+6.784863e-01,-4.739336e+01,
+1.630000e+05,+4.563055e-01,-4.991139e-01,+6.762613e-01,-4.756547e+01,
+1.640000e+05,+4.534495e-01,-4.989728e-01,+6.742331e-01,-4.773651e+01,
+1.650000e+05,+4.504286e-01,-4.986112e-01,+6.719368e-01,-4.790640e+01,
+1.660000e+05,+4.475209e-01,-4.983347e-01,+6.697854e-01,-4.807512e+01,
+1.670000e+05,+4.445249e-01,-4.979246e-01,+6.674813e-01,-4.824294e+01,
+1.680000e+05,+4.416724e-01,-4.976308e-01,+6.653652e-01,-4.840932e+01,
+1.690000e+05,+4.387579e-01,-4.972308e-01,+6.631342e-01,-4.857472e+01,
+1.700000e+05,+4.358881e-01,-4.968446e-01,+6.609485e-01,-4.873911e+01,
+1.710000e+05,+4.330741e-01,-4.964797e-01,+6.588211e-01,-4.890214e+01,
+1.720000e+05,+4.302271e-01,-4.960435e-01,+6.566235e-01,-4.906433e+01,
+1.730000e+05,+4.274142e-01,-4.956096e-01,+6.544553e-01,-4.922548e+01,
