Datos provenientes de SR865 
F,X,Y,R,T,
+1.230000e+05,+5.936872e-01,-4.924079e-01,+7.713171e-01,-3.967252e+01,
+1.240000e+05,+5.898781e-01,-4.931603e-01,+7.688714e-01,-3.989688e+01,
+1.250000e+05,+5.860316e-01,-4.938289e-01,+7.663550e-01,-4.011970e+01,
+1.260000e+05,+5.821459e-01,-4.944039e-01,+7.637599e-01,-4.034052e+01,
+1.270000e+05,+5.783413e-01,-4.949988e-01,+7.612506e-01,-4.056001e+01,
+1.280000e+05,+5.745038e-01,-4.955124e-01,+7.586747e-01,-4.077793e+01,
+1.290000e+05,+5.707561e-01,-4.960537e-01,+7.561957e-01,-4.099445e+01,
+1.300000e+05,+5.669737e-01,-4.965150e-01,+7.536487e-01,-4.120956e+01,
+1.310000e+05,+5.632136e-01,-4.969469e-01,+7.511098e-01,-4.142330e+01,
+1.320000e+05,+5.595682e-01,-4.974298e-01,+7.487009e-01,-4.163559e+01,
+1.330000e+05,+5.558152e-01,-4.977673e-01,+7.461252e-01,-4.184643e+01,
+1.340000e+05,+5.522017e-01,-4.981780e-01,+7.437124e-01,-4.205572e+01,
+1.350000e+05,+5.484840e-01,-4.984484e-01,+7.411380e-01,-4.226377e+01,
+1.360000e+05,+5.448441e-01,-4.987399e-01,+7.386451e-01,-4.247039e+01,
+1.370000e+05,+5.412678e-01,-4.990411e-01,+7.362152e-01,-4.267561e+01,
+1.380000e+05,+5.377918e-01,-4.993834e-01,+7.338963e-01,-4.287920e+01,
+1.390000e+05,+5.342104e-01,-4.995835e-01,+7.314126e-01,-4.308159e+01,
+1.400000e+05,+5.307354e-01,-4.998343e-01,+7.290503e-01,-4.328253e+01,
+1.410000e+05,+5.272115e-01,-4.999930e-01,+7.265982e-01,-4.348215e+01,
+1.420000e+05,+5.237419e-01,-5.001576e-01,+7.241982e-01,-4.368049e+01,
+1.430000e+05,+5.202420e-01,-5.002464e-01,+7.217327e-01,-4.387748e+01,
