Datos provenientes de SR865 
F,X,Y,R,T,
+9.100000e+05,+2.905936e-01,-4.656363e-01,+5.488732e-01,-5.803259e+01,
+9.200000e+05,+2.859419e-01,-4.636160e-01,+5.447041e-01,-5.833519e+01,
+9.300000e+05,+2.814527e-01,-4.616505e-01,+5.406818e-01,-5.863075e+01,
+9.400000e+05,+2.770284e-01,-4.596362e-01,+5.366658e-01,-5.892211e+01,
+9.500000e+05,+2.727205e-01,-4.576399e-01,+5.327389e-01,-5.920810e+01,
+9.600000e+05,+2.684577e-01,-4.556352e-01,+5.288412e-01,-5.949364e+01,
+9.700000e+05,+2.643241e-01,-4.536574e-01,+5.250450e-01,-5.977272e+01,
+9.800000e+05,+2.602305e-01,-4.516357e-01,+5.212435e-01,-6.004963e+01,
+9.900000e+05,+2.562307e-01,-4.495959e-01,+5.174850e-01,-6.032061e+01,
+1.000000e+06,+2.522672e-01,-4.475580e-01,+5.137576e-01,-6.059211e+01,
+1.010000e+06,+2.484200e-01,-4.455224e-01,+5.101007e-01,-6.085628e+01,
+1.020000e+06,+2.446766e-01,-4.435129e-01,+5.065278e-01,-6.111541e+01,
+1.030000e+06,+2.409115e-01,-4.414056e-01,+5.028691e-01,-6.137505e+01,
+1.040000e+06,+2.372778e-01,-4.393497e-01,+4.993284e-01,-6.162802e+01,
+1.050000e+06,+2.336864e-01,-4.373367e-01,+4.958556e-01,-6.188263e+01,
+1.060000e+06,+2.301596e-01,-4.352830e-01,+4.923868e-01,-6.213197e+01,
+1.070000e+06,+2.266638e-01,-4.332168e-01,+4.889308e-01,-6.238094e+01,
+1.080000e+06,+2.233182e-01,-4.311948e-01,+4.855924e-01,-6.262010e+01,
+1.090000e+06,+2.200290e-01,-4.291809e-01,+4.822955e-01,-6.285705e+01,
+1.100000e+06,+2.167789e-01,-4.271450e-01,+4.790051e-01,-6.309190e+01,
+1.110000e+06,+2.136036e-01,-4.251333e-01,+4.757781e-01,-6.332325e+01,
+1.120000e+06,+2.104151e-01,-4.230510e-01,+4.724899e-01,-6.355537e+01,
+1.130000e+06,+2.074044e-01,-4.210575e-01,+4.693677e-01,-6.377607e+01,
+1.140000e+06,+2.043568e-01,-4.190368e-01,+4.662120e-01,-6.400232e+01,
+1.150000e+06,+2.014051e-01,-4.170389e-01,+4.631258e-01,-6.422220e+01,
+1.160000e+06,+1.984343e-01,-4.150036e-01,+4.600044e-01,-6.444516e+01,
+1.170000e+06,+1.955804e-01,-4.130199e-01,+4.569870e-01,-6.466068e+01,
+1.180000e+06,+1.927672e-01,-4.110546e-01,+4.540100e-01,-6.487541e+01,
+1.190000e+06,+1.899648e-01,-4.090423e-01,+4.510014e-01,-6.508920e+01,
+1.200000e+06,+1.872822e-01,-4.070758e-01,+4.480908e-01,-6.529438e+01,
+1.210000e+06,+1.845656e-01,-4.050988e-01,+4.451623e-01,-6.550568e+01,
+1.220000e+06,+1.819696e-01,-4.031939e-01,+4.423554e-01,-6.570937e+01,
+1.230000e+06,+1.794236e-01,-4.012952e-01,+4.395801e-01,-6.591003e+01,
+1.240000e+06,+1.768907e-01,-3.993620e-01,+4.367841e-01,-6.610985e+01,
+1.250000e+06,+1.744453e-01,-3.974352e-01,+4.340345e-01,-6.630200e+01,
+1.260000e+06,+1.719806e-01,-3.954650e-01,+4.312423e-01,-6.649664e+01,
+1.270000e+06,+1.696253e-01,-3.935885e-01,+4.285844e-01,-6.668534e+01,
+1.280000e+06,+1.672142e-01,-3.916445e-01,+4.258474e-01,-6.687975e+01,
+1.290000e+06,+1.649573e-01,-3.898207e-01,+4.232861e-01,-6.706375e+01,
+1.300000e+06,+1.626669e-01,-3.879677e-01,+4.206893e-01,-6.725269e+01,
+1.310000e+06,+1.604083e-01,-3.861039e-01,+4.180993e-01,-6.743937e+01,
+1.320000e+06,+1.582057e-01,-3.842635e-01,+4.155569e-01,-6.762247e+01,
+1.330000e+06,+1.560612e-01,-3.824450e-01,+4.130609e-01,-6.780150e+01,
+1.340000e+06,+1.539340e-01,-3.806094e-01,+4.105596e-01,-6.797958e+01,
+1.350000e+06,+1.518678e-01,-3.788150e-01,+4.081233e-01,-6.815403e+01,
+1.360000e+06,+1.498088e-01,-3.769770e-01,+4.056530e-01,-6.832736e+01,
+1.370000e+06,+1.477869e-01,-3.751753e-01,+4.032337e-01,-6.849980e+01,
+1.380000e+06,+1.457834e-01,-3.733683e-01,+4.008200e-01,-6.867160e+01,
+1.390000e+06,+1.438707e-01,-3.716426e-01,+3.985185e-01,-6.883752e+01,
+1.400000e+06,+1.419026e-01,-3.698481e-01,+3.961363e-01,-6.900928e+01,
+1.410000e+06,+1.400237e-01,-3.681323e-01,+3.938630e-01,-6.917506e+01,
+1.420000e+06,+1.381132e-01,-3.663611e-01,+3.915300e-01,-6.934423e+01,
+1.430000e+06,+1.363050e-01,-3.646754e-01,+3.893163e-01,-6.950572e+01,
+1.440000e+06,+1.345097e-01,-3.629740e-01,+3.870956e-01,-6.966646e+01,
+1.450000e+06,+1.327392e-01,-3.612604e-01,+3.848749e-01,-6.982497e+01,
+1.460000e+06,+1.310342e-01,-3.595726e-01,+3.827040e-01,-6.997742e+01,
+1.470000e+06,+1.292956e-01,-3.578373e-01,+3.804798e-01,-7.013393e+01,
+1.480000e+06,+1.276237e-01,-3.561765e-01,+3.783511e-01,-7.028658e+01,
+1.490000e+06,+1.259921e-01,-3.545552e-01,+3.762757e-01,-7.043719e+01,
+1.500000e+06,+1.243638e-01,-3.529341e-01,+3.742043e-01,-7.058901e+01,
+1.510000e+06,+1.227603e-01,-3.513380e-01,+3.721673e-01,-7.074017e+01,
+1.520000e+06,+1.211764e-01,-3.497470e-01,+3.701441e-01,-7.089040e+01,
+1.530000e+06,+1.195892e-01,-3.481359e-01,+3.681035e-01,-7.104173e+01,
+1.540000e+06,+1.180280e-01,-3.465104e-01,+3.660602e-01,-7.119018e+01,
+1.550000e+06,+1.165279e-01,-3.449203e-01,+3.640725e-01,-7.133296e+01,
+1.560000e+06,+1.150216e-01,-3.433306e-01,+3.620854e-01,-7.147826e+01,
+1.570000e+06,+1.135599e-01,-3.417767e-01,+3.601488e-01,-7.162025e+01,
+1.580000e+06,+1.121222e-01,-3.402164e-01,+3.582158e-01,-7.175977e+01,
+1.590000e+06,+1.106721e-01,-3.386157e-01,+3.562427e-01,-7.190070e+01,
+1.600000e+06,+1.092962e-01,-3.371269e-01,+3.544011e-01,-7.203735e+01,
+1.610000e+06,+1.078860e-01,-3.355670e-01,+3.524835e-01,-7.217721e+01,
+1.620000e+06,+1.065208e-01,-3.340530e-01,+3.506253e-01,-7.231387e+01,
+1.630000e+06,+1.051816e-01,-3.325704e-01,+3.488069e-01,-7.244946e+01,
+1.640000e+06,+1.038717e-01,-3.310928e-01,+3.470040e-01,-7.258211e+01,
+1.650000e+06,+1.025725e-01,-3.296012e-01,+3.451928e-01,-7.271376e+01,
+1.660000e+06,+1.013025e-01,-3.281600e-01,+3.434402e-01,-7.284462e+01,
+1.670000e+06,+1.000415e-01,-3.267201e-01,+3.416934e-01,-7.297544e+01,
+1.680000e+06,+9.878172e-02,-3.252449e-01,+3.399148e-01,-7.310567e+01,
+1.690000e+06,+9.757573e-02,-3.238183e-01,+3.382002e-01,-7.323093e+01,
+1.700000e+06,+9.637684e-02,-3.224167e-01,+3.365130e-01,-7.335753e+01,
+1.710000e+06,+9.518898e-02,-3.209940e-01,+3.348105e-01,-7.348257e+01,
+1.720000e+06,+9.402546e-02,-3.195946e-01,+3.331389e-01,-7.360599e+01,
+1.730000e+06,+9.286688e-02,-3.181982e-01,+3.314730e-01,-7.372999e+01,
+1.740000e+06,+9.174205e-02,-3.168364e-01,+3.298513e-01,-7.385127e+01,
+1.750000e+06,+9.060435e-02,-3.154497e-01,+3.282037e-01,-7.397472e+01,
+1.760000e+06,+8.947977e-02,-3.140614e-01,+3.265597e-01,-7.409712e+01,
+1.770000e+06,+8.836513e-02,-3.126905e-01,+3.249365e-01,-7.421990e+01,
+1.780000e+06,+8.730114e-02,-3.113951e-01,+3.234013e-01,-7.433889e+01,
+1.790000e+06,+8.622871e-02,-3.100345e-01,+3.218024e-01,-7.445735e+01,
+1.800000e+06,+8.518099e-02,-3.086622e-01,+3.202002e-01,-7.457218e+01,
+1.810000e+06,+8.417295e-02,-3.073524e-01,+3.186700e-01,-7.468423e+01,
+1.820000e+06,+8.319040e-02,-3.060718e-01,+3.171760e-01,-7.479433e+01,
+1.830000e+06,+8.220163e-02,-3.047802e-01,+3.156708e-01,-7.490602e+01,
+1.840000e+06,+8.121766e-02,-3.034940e-01,+3.141733e-01,-7.501819e+01,
+1.850000e+06,+8.023466e-02,-3.022015e-01,+3.126713e-01,-7.513097e+01,
+1.860000e+06,+7.927296e-02,-3.009466e-01,+3.112122e-01,-7.524281e+01,
+1.870000e+06,+7.829491e-02,-2.996604e-01,+3.097199e-01,-7.535717e+01,
+1.880000e+06,+7.734268e-02,-2.983801e-01,+3.082410e-01,-7.546826e+01,
+1.890000e+06,+7.639119e-02,-2.971065e-01,+3.067701e-01,-7.558060e+01,
+1.900000e+06,+7.546630e-02,-2.958935e-01,+3.053656e-01,-7.569199e+01,
+1.910000e+06,+7.457029e-02,-2.947094e-01,+3.039972e-01,-7.580048e+01,
+1.920000e+06,+7.366521e-02,-2.934708e-01,+3.025751e-01,-7.590910e+01,
+1.930000e+06,+7.278379e-02,-2.922749e-01,+3.012011e-01,-7.601633e+01,
+1.940000e+06,+7.189913e-02,-2.910547e-01,+2.998038e-01,-7.612404e+01,
+1.950000e+06,+7.105475e-02,-2.898807e-01,+2.984620e-01,-7.622736e+01,
+1.960000e+06,+7.022870e-02,-2.887225e-01,+2.971410e-01,-7.632890e+01,
+1.970000e+06,+6.938291e-02,-2.875153e-01,+2.957685e-01,-7.643282e+01,
+1.980000e+06,+6.856927e-02,-2.863398e-01,+2.944354e-01,-7.653308e+01,
+1.990000e+06,+6.775910e-02,-2.851565e-01,+2.930964e-01,-7.663322e+01,
+2.000000e+06,+6.698725e-02,-2.840122e-01,+2.918051e-01,-7.672873e+01,
