Datos provenientes de SR865 
F,X,Y,R,T,
+9.500000e+05,+9.864870e-01,-1.801011e-01,+1.002793e+00,-1.034643e+01,
+9.600000e+05,+9.860200e-01,-1.820099e-01,+1.002678e+00,-1.045853e+01,
+9.700000e+05,+9.855980e-01,-1.838990e-01,+1.002608e+00,-1.056907e+01,
+9.800000e+05,+9.850764e-01,-1.857982e-01,+1.002445e+00,-1.068125e+01,
+9.900000e+05,+9.845814e-01,-1.876214e-01,+1.002298e+00,-1.078891e+01,
+1.000000e+06,+9.841267e-01,-1.895066e-01,+1.002207e+00,-1.089965e+01,
+1.010000e+06,+9.836865e-01,-1.913891e-01,+1.002132e+00,-1.101009e+01,
+1.020000e+06,+9.832433e-01,-1.932531e-01,+1.002055e+00,-1.111955e+01,
+1.030000e+06,+9.825957e-01,-1.951117e-01,+1.001780e+00,-1.123100e+01,
+1.040000e+06,+9.819587e-01,-1.969917e-01,+1.001523e+00,-1.134359e+01,
+1.050000e+06,+9.814280e-01,-1.988882e-01,+1.001378e+00,-1.145595e+01,
+1.060000e+06,+9.808671e-01,-2.007379e-01,+1.001197e+00,-1.156607e+01,
+1.070000e+06,+9.803923e-01,-2.026523e-01,+1.001118e+00,-1.167886e+01,
+1.080000e+06,+9.798801e-01,-2.044956e-01,+1.000991e+00,-1.178812e+01,
+1.090000e+06,+9.793495e-01,-2.063199e-01,+1.000846e+00,-1.189656e+01,
+1.100000e+06,+9.787883e-01,-2.081949e-01,+1.000686e+00,-1.200823e+01,
+1.110000e+06,+9.782707e-01,-2.100406e-01,+1.000565e+00,-1.211778e+01,
+1.120000e+06,+9.776074e-01,-2.118751e-01,+1.000304e+00,-1.222849e+01,
+1.130000e+06,+9.768810e-01,-2.136963e-01,+9.999812e-01,-1.233928e+01,
+1.140000e+06,+9.763510e-01,-2.155512e-01,+9.998618e-01,-1.244961e+01,
+1.150000e+06,+9.758621e-01,-2.173979e-01,+9.997844e-01,-1.255900e+01,
+1.160000e+06,+9.752595e-01,-2.192699e-01,+9.996051e-01,-1.267124e+01,
+1.170000e+06,+9.746454e-01,-2.211134e-01,+9.994122e-01,-1.278208e+01,
+1.180000e+06,+9.740025e-01,-2.229378e-01,+9.991907e-01,-1.289226e+01,
+1.190000e+06,+9.732322e-01,-2.247812e-01,+9.988530e-01,-1.300519e+01,
+1.200000e+06,+9.725683e-01,-2.266317e-01,+9.986246e-01,-1.311721e+01,
+1.210000e+06,+9.720072e-01,-2.285321e-01,+9.985113e-01,-1.323072e+01,
+1.220000e+06,+9.714262e-01,-2.304061e-01,+9.983767e-01,-1.334304e+01,
+1.230000e+06,+9.707868e-01,-2.322398e-01,+9.981796e-01,-1.345392e+01,
+1.240000e+06,+9.701917e-01,-2.340536e-01,+9.980246e-01,-1.356314e+01,
+1.250000e+06,+9.694434e-01,-2.358257e-01,+9.977146e-01,-1.367215e+01,
+1.260000e+06,+9.687193e-01,-2.376150e-01,+9.974357e-01,-1.378185e+01,
+1.270000e+06,+9.680980e-01,-2.393960e-01,+9.972583e-01,-1.388973e+01,
+1.280000e+06,+9.674904e-01,-2.412108e-01,+9.971060e-01,-1.399935e+01,
+1.290000e+06,+9.668159e-01,-2.430563e-01,+9.968999e-01,-1.411165e+01,
+1.300000e+06,+9.661439e-01,-2.449244e-01,+9.967056e-01,-1.422521e+01,
+1.310000e+06,+9.654974e-01,-2.467819e-01,+9.965373e-01,-1.433787e+01,
+1.320000e+06,+9.648248e-01,-2.486221e-01,+9.963433e-01,-1.444997e+01,
+1.330000e+06,+9.641322e-01,-2.504207e-01,+9.961233e-01,-1.456010e+01,
+1.340000e+06,+9.634405e-01,-2.522508e-01,+9.959157e-01,-1.467200e+01,
+1.350000e+06,+9.627626e-01,-2.540433e-01,+9.957157e-01,-1.478167e+01,
+1.360000e+06,+9.619704e-01,-2.558025e-01,+9.954004e-01,-1.489121e+01,
+1.370000e+06,+9.612336e-01,-2.575541e-01,+9.951402e-01,-1.499957e+01,
+1.380000e+06,+9.605583e-01,-2.593826e-01,+9.949631e-01,-1.511135e+01,
+1.390000e+06,+9.598001e-01,-2.611794e-01,+9.947014e-01,-1.522265e+01,
+1.400000e+06,+9.590958e-01,-2.630137e-01,+9.945053e-01,-1.533528e+01,
+1.410000e+06,+9.582849e-01,-2.648180e-01,+9.942025e-01,-1.544791e+01,
+1.420000e+06,+9.575310e-01,-2.666489e-01,+9.939654e-01,-1.556122e+01,
+1.430000e+06,+9.567860e-01,-2.684710e-01,+9.937385e-01,-1.567394e+01,
+1.440000e+06,+9.560166e-01,-2.702652e-01,+9.934843e-01,-1.578556e+01,
+1.450000e+06,+9.553269e-01,-2.720083e-01,+9.932965e-01,-1.589314e+01,
+1.460000e+06,+9.544768e-01,-2.737743e-01,+9.929644e-01,-1.600458e+01,
+1.470000e+06,+9.536514e-01,-2.755040e-01,+9.926497e-01,-1.611368e+01,
+1.480000e+06,+9.529193e-01,-2.773042e-01,+9.924479e-01,-1.622525e+01,
+1.490000e+06,+9.521701e-01,-2.790610e-01,+9.922212e-01,-1.633475e+01,
+1.500000e+06,+9.514065e-01,-2.808526e-01,+9.919942e-01,-1.644646e+01,
+1.510000e+06,+9.506309e-01,-2.826750e-01,+9.917683e-01,-1.656012e+01,
+1.520000e+06,+9.499094e-01,-2.844969e-01,+9.915978e-01,-1.667290e+01,
+1.530000e+06,+9.491207e-01,-2.862941e-01,+9.913599e-01,-1.678548e+01,
+1.540000e+06,+9.481889e-01,-2.880566e-01,+9.909787e-01,-1.689860e+01,
+1.550000e+06,+9.473406e-01,-2.898258e-01,+9.906833e-01,-1.701077e+01,
+1.560000e+06,+9.465755e-01,-2.916293e-01,+9.904811e-01,-1.712348e+01,
+1.570000e+06,+9.458289e-01,-2.933915e-01,+9.902883e-01,-1.723363e+01,
+1.580000e+06,+9.449100e-01,-2.951277e-01,+9.899269e-01,-1.734537e+01,
+1.590000e+06,+9.439919e-01,-2.968570e-01,+9.895680e-01,-1.745679e+01,
+1.600000e+06,+9.431463e-01,-2.986068e-01,+9.892882e-01,-1.756816e+01,
+1.610000e+06,+9.422597e-01,-3.003798e-01,+9.889800e-01,-1.768158e+01,
+1.620000e+06,+9.413274e-01,-3.021315e-01,+9.886256e-01,-1.779472e+01,
+1.630000e+06,+9.405413e-01,-3.039292e-01,+9.884285e-01,-1.790787e+01,
+1.640000e+06,+9.396480e-01,-3.056929e-01,+9.881227e-01,-1.802110e+01,
+1.650000e+06,+9.387379e-01,-3.073890e-01,+9.877837e-01,-1.813099e+01,
