Barrido en f -> f_inicial:5000, f_final:500000, step: 10
Parametros -> M:128,	N:128, Modo:0,	Fuente:1
Formato -> f,x,y,r,phi

5779.109589,121425847.118164,-3712514.344971,7414.935007,-1.751286
5790.441176,121428590.697144,-3725513.920044,7415.126679,-1.757375
5800.189394,121435259.697083,-3731824.137390,7415.545364,-1.760253
5809.294872,121424775.467163,-3740514.949951,7414.922054,-1.764502
5821.078431,121425765.271179,-3749513.240051,7414.999371,-1.768730
5830.223881,121418881.348267,-3758956.745056,7414.597211,-1.773282
5836.925287,121421666.886841,-3768331.354614,7414.784878,-1.777661
5859.375000,121425970.839050,-3791775.109314,7415.091976,-1.788650
5882.352941,121424277.836121,-3819703.434692,7415.042093,-1.801841
5889.423077,121419692.367004,-3821507.355286,7414.765811,-1.802759
5899.234694,121409668.510681,-3821197.771729,7414.153693,-1.802762
5909.455128,121417565.127319,-3839328.526184,7414.670333,-1.811192
5918.560606,121427980.724487,-3849013.118347,7415.324457,-1.815602
5929.969880,121414568.044373,-3860368.752014,7414.528192,-1.821156
5941.901408,121407882.413696,-3874993.060303,7414.148749,-1.828151
5952.380952,121420207.885925,-3887966.900269,7414.925978,-1.834082
5958.686441,121416667.290588,-3888142.862793,7414.710325,-1.834218
5967.881944,121409344.837036,-3905276.609558,7414.297161,-1.842406
5979.938272,121403876.149536,-3964339.118042,7414.080321,-1.870335
5989.583333,121411299.794922,-3926089.067871,7414.457373,-1.852188
6000.905797,121412604.361450,-3932143.361328,7414.548911,-1.855023
6009.615385,121423287.205688,-3934336.632507,7415.204952,-1.855894
6019.467213,121406833.624573,-3946410.952698,7414.225108,-1.861837
6030.701754,121412778.029358,-3951947.356445,7414.598732,-1.864356
6041.666667,121412005.902893,-3971788.754883,7414.591126,-1.873722
6048.387097,121400293.662537,-3986044.273438,7413.905131,-1.880623
6058.673469,121395594.138000,-3987774.024048,7413.621906,-1.881512
6064.967105,121410709.303955,-3993113.815491,7414.554700,-1.883795
6076.388889,121401102.434387,-4016557.787598,7414.015821,-1.894997
6089.154412,121390902.323914,-4020765.272034,7413.402075,-1.897140
6100.171233,121399496.297852,-4037682.610596,7413.960590,-1.904981
6109.775641,121398598.951904,-4053059.423767,7413.937107,-1.912245
6119.791667,121398882.188110,-4051582.192322,7413.951377,-1.911544
6129.807692,121391762.625000,-4051613.983704,7413.517127,-1.911671
6138.392857,121388233.466248,-4076361.001465,7413.352379,-1.923394
6150.265957,121406569.743896,-4079029.858704,7414.476409,-1.924362
6159.855769,121390006.721252,-4093439.195068,7413.495610,-1.931418
6167.763158,121384268.967163,-4099768.000183,7413.158623,-1.934493
6180.037313,121395167.184875,-4108520.955872,7413.841491,-1.938446
6189.123377,121384267.817261,-4134787.358826,7413.231014,-1.951005
6200.396825,121383983.219360,-4128471.609619,7413.200539,-1.948032
6209.935897,121387830.478699,-4149526.392212,7413.479022,-1.957897
6221.064815,121387248.724060,-4161311.507324,7413.468144,-1.963462
6230.221519,121390579.063110,-4172325.392639,7413.694361,-1.968601
6250.000000,121381379.855652,-4181216.402649,7413.151863,-1.972942
6269.290123,121386140.842712,-4208057.403625,7413.498867,-1.985519
6270.559211,121385811.387634,-4209506.750793,7413.481835,-1.986208
6280.637255,121391131.967224,-4217202.520081,7413.822686,-1.989749
6290.584416,121365149.862549,-4269752.547791,7412.349853,-2.014954
6300.403226,121387720.116638,-4232521.674683,7413.647087,-1.997027
6310.096154,121378273.299194,-4240482.876465,7413.087781,-2.000936
6318.933824,121380993.658203,-4250955.560120,7413.276068,-2.005829
6330.818966,121384060.309082,-4263141.539001,7413.489202,-2.011523
6340.579710,121364132.001221,-4302447.583557,7412.358197,-2.030387
6347.656250,121377543.472534,-4277677.990662,7413.122876,-2.018485
6359.011628,121377637.240479,-4292621.593506,7413.160777,-2.025529
6370.192308,121370056.666199,-4299251.149780,7412.712685,-2.028781
6380.208333,121369529.293884,-4305064.353516,7412.693085,-2.031531
6392.045455,121373512.409363,-4313334.076111,7412.953959,-2.035363
6401.909722,121371652.090393,-4327520.091614,7412.871285,-2.042083
6410.256410,121362304.722229,-4340031.529480,7412.328364,-2.048139
6421.232877,121365667.583252,-4349999.789368,7412.555261,-2.052783
6428.006329,121371026.639282,-4365022.323730,7412.915051,-2.059775
6440.033784,121362076.821228,-4385608.373108,7412.414403,-2.069633
6448.412698,121366247.709167,-4382828.794189,7412.662691,-2.068251
6460.336538,121370749.532166,-4390617.738403,7412.954462,-2.071847
6469.726562,121359571.590088,-4396702.443481,7412.286076,-2.074907
6478.658537,121361584.647949,-4408978.725830,7412.436033,-2.080661
6490.384615,121366993.741272,-4415503.323425,7412.780439,-2.083644
6493.506494,121360340.115173,-4433206.189819,7412.413956,-2.092105
6510.416667,121361296.693909,-4437910.564636,7412.482791,-2.094307
6528.253425,121349232.759583,-4467980.645447,7411.814241,-2.108694
6529.850746,121350328.336609,-4488810.922913,7411.927956,-2.118497
6540.697674,121358096.854370,-4464159.190857,7412.346335,-2.106738
6548.713235,121349109.891052,-4467590.564209,7411.805871,-2.108512
6562.500000,121358683.901733,-4496894.091309,7412.455859,-2.122162
6569.602273,121346611.654114,-4512001.496643,7411.753716,-2.129497
6578.947368,121356733.974609,-4511219.523438,7412.369352,-2.128951
6591.796875,121342964.069397,-4525929.886658,7411.562871,-2.136129
6600.215517,121341031.397400,-4526863.631714,7411.447113,-2.136603
6610.576923,121347816.229309,-4535024.584473,7411.879537,-2.140332
6620.762712,121349274.496948,-4547294.927124,7411.996491,-2.146091
6628.787879,121343080.705688,-4558329.108459,7411.643957,-2.151404
6640.625000,121337726.117737,-4572105.483521,7411.348974,-2.157995
6648.936170,121337795.291687,-4583354.867432,7411.379079,-2.163298
6659.836066,121334785.649414,-4593520.141785,7411.218957,-2.168145
6669.207317,121346013.268799,-4598286.328735,7411.914777,-2.170192
6680.253623,121329702.794983,-4608891.404541,7410.944492,-2.175485
6696.428571,121339476.843262,-4634181.957581,7411.599392,-2.187235
6712.147887,121326269.819763,-4656128.375000,7410.845111,-2.197822
6718.750000,121329954.726379,-4652822.065308,7411.062125,-2.196196
6730.769231,121324758.528137,-4687510.939392,7410.826639,-2.212648
6740.196078,121327423.334839,-4676520.300293,7410.963302,-2.207417
6747.159091,121334823.039368,-4681602.798706,7411.426577,-2.209679
6760.817308,121331428.841431,-4695089.224121,7411.251343,-2.216100
6770.833333,121326600.971497,-4699019.094116,7410.966164,-2.218041
6780.660377,121330033.385986,-4714523.976929,7411.212197,-2.225290
6787.909836,121332815.091675,-4729124.748901,7411.416511,-2.232123
6799.768519,121322922.099792,-4728520.825500,7410.811695,-2.232020
6810.897436,121327060.589905,-4751284.704590,7411.118344,-2.242678
6820.436508,121330049.470398,-4756976.096008,7411.314238,-2.245307
6835.937500,121324402.647583,-4778629.869629,7411.021737,-2.255622
6849.315068,121315444.531067,-4796966.896484,7410.519521,-2.264435
6859.756098,121313982.756653,-4801910.939209,7410.442298,-2.266794
6869.612069,121325297.528809,-4812813.660828,7411.158725,-2.271724
6879.664179,121313019.818970,-4821155.949707,7410.430122,-2.275887
6893.382353,121316331.824707,-4823926.021240,7410.638833,-2.277131
6901.041667,121314441.232361,-4844454.518738,7410.573418,-2.286847
6911.057692,121314347.699646,-4846919.050598,7410.573718,-2.288011
6919.642857,121308970.780457,-4860290.401123,7410.278417,-2.294418
6930.443548,121315792.203735,-4867420.066223,7410.711875,-2.297651
6944.444444,121316142.383179,-4884474.014465,7410.775035,-2.305686
6960.227273,121307876.829163,-4888703.981262,7410.281331,-2.307838
6971.153846,121304652.605164,-4898903.125122,7410.109787,-2.312708
6981.382979,121302940.600708,-4923638.550232,7410.066454,-2.324406
6990.131579,121302744.434387,-4930227.209595,7410.070811,-2.327517
6998.697917,121303949.307007,-4940983.972839,7410.170984,-2.332566
7011.217949,121299463.072144,-4948596.046997,7409.916309,-2.336242
7019.927536,121300422.156799,-5013184.490906,7410.136544,-2.366681
7031.250000,121298038.410217,-4964414.464355,7409.868845,-2.343729
7042.253521,121301990.994080,-4984235.058350,7410.159466,-2.352999
7050.304878,121298400.887939,-4986109.792908,7409.945220,-2.353953
7061.298077,121288517.155273,-4993327.525757,7409.360564,-2.357548
7068.452381,121305747.461365,-5003300.283264,7410.436421,-2.361917
7080.078125,121296571.727600,-5015640.468994,7409.907918,-2.367914
7089.120370,121298904.174377,-5022194.876099,7410.066701,-2.370960
7102.272727,121289942.380371,-5043556.856934,7409.574225,-2.381209
7112.873134,121283436.325439,-5063481.159973,7409.228086,-2.390733
7118.055556,121291503.709106,-5053595.262390,7409.694923,-2.385912
7127.192982,121281877.166260,-5059514.923340,7409.122908,-2.388893
7139.008621,121286485.693298,-5070892.587585,7409.432931,-2.394168
7150.423729,121296968.704956,-5074180.989075,7410.080611,-2.395512
7161.458333,121283527.749023,-5090559.490356,7409.302787,-2.403501
7172.131148,121277478.328430,-5131207.675476,7409.038337,-2.422791
7179.054054,121273732.639709,-5119202.813293,7408.778977,-2.417204
7192.460317,121280557.889465,-5123730.720398,7409.206859,-2.419203
7199.754902,121280357.775452,-5138421.747375,7409.232559,-2.426136
7211.538462,121285963.863220,-5145482.189941,7409.592685,-2.429353
7220.643939,121280198.347839,-5166460.882446,7409.295479,-2.439362
7229.477612,121267121.519531,-5224176.890137,7408.648817,-2.466845
7240.853659,121270757.112366,-5178665.533325,7408.751481,-2.445307
7246.376812,121264303.826233,-5179799.412598,7408.360904,-2.445972
7264.254386,121263437.850281,-5201564.722961,7408.364909,-2.456255
7267.441860,121266857.611328,-5204751.298889,7408.581787,-2.457689
7279.829545,121274350.946777,-5215383.384338,7409.066591,-2.462551
7291.666667,121270838.634033,-5237256.319946,7408.909891,-2.472937
7300.204918,121270219.221008,-5230494.300598,7408.854322,-2.469761
7308.467742,121270718.167297,-5236312.606323,7408.900059,-2.472495
7316.468254,121269625.011169,-5250116.233154,7408.869792,-2.479027
7331.730769,121260929.863831,-5278317.198792,7408.414219,-2.492505
7339.015152,121262732.699829,-5268349.784851,7408.497723,-2.487767
7352.941176,121265235.562988,-5286103.692200,7408.697459,-2.496088
7359.601449,121266874.101990,-5294745.288025,7408.820365,-2.500130
7370.283019,121249926.764709,-5309127.389343,7407.825284,-2.507262
7378.472222,121265580.949890,-5313075.662720,7408.790399,-2.508801
7390.202703,121263184.663696,-5329969.753601,7408.689485,-2.516818
7401.315789,121253315.904541,-5343464.032166,7408.123923,-2.523387
7408.405172,121251837.127014,-5343568.497131,7408.034031,-2.523467
7421.875000,121250117.338196,-5367106.955505,7407.992557,-2.534604
7431.402439,121244423.252136,-5373597.794495,7407.662878,-2.537784
7440.476190,121246033.542419,-5388083.148682,7407.800268,-2.544583
7449.127907,121244097.985229,-5386727.142883,7407.678570,-2.543984
7457.386364,121246660.587097,-5391184.032532,7407.846908,-2.546032
7467.830882,121249804.341614,-5404185.356873,7408.073896,-2.552098
7480.053191,121249760.763123,-5428125.528625,7408.136446,-2.563389
7486.979167,121247940.057373,-5421716.180725,7408.007941,-2.560405
7500.000000,121238431.571472,-5439413.983643,7407.476488,-2.568953
7512.019231,121243804.003662,-5456137.612122,7407.849895,-2.576726
7517.688679,121240704.666260,-5470985.453552,7407.701710,-2.583795
7528.409091,121236333.381348,-5473975.698792,7407.443402,-2.585298
7538.377193,121232852.368835,-5477751.890564,7407.241547,-2.587153
7552.083333,121231290.884399,-5503660.808289,7407.217886,-2.599407
7560.483871,121239102.154846,-5503212.647278,7407.692932,-2.599028
7568.359375,121231154.042908,-5513922.804688,7407.237975,-2.604250
7579.291045,121234700.210571,-5525517.729980,7407.486388,-2.609643
7589.285714,121227691.983521,-5544292.666260,7407.111337,-2.618649
7601.351351,121227081.420105,-5550179.919373,7407.090535,-2.621439
7612.179487,121221548.291199,-5548937.610779,7406.749695,-2.620972
7621.951220,121226680.720276,-5566886.755737,7407.112811,-2.629327
7630.813953,121233438.741394,-5579373.288452,7407.559865,-2.635070
7638.888889,121223992.750000,-5587846.203613,7407.007715,-2.639271
7649.739583,121215011.076721,-5601601.498413,7406.498792,-2.645955
7659.313725,121220810.201416,-5597998.201172,7406.842227,-2.644129
7670.454545,121224390.555115,-5620298.469788,7407.123442,-2.654568
7680.084746,121222457.940247,-5625280.039490,7407.019696,-2.656960
7690.429688,121221749.426270,-5646803.200623,7407.037510,-2.667127
7694.128788,121211461.232666,-5638264.139282,7406.385994,-2.663325
7812.500000,121197446.568726,-5763498.852051,7405.890664,-2.722708
7934.570312,121187140.174683,-5883325.842529,7405.613351,-2.779463
7940.573770,121180815.703186,-5944935.080139,7405.411086,-2.808670
7949.561404,121183585.194519,-5906859.924927,7405.466416,-2.790646
7959.905660,121176072.176147,-5898989.291565,7404.985014,-2.787106
7968.750000,121175610.503601,-5918556.914734,7405.015038,-2.796347
7978.723404,121175875.886719,-5917046.502869,7405.026720,-2.795628
7990.056818,121171745.529297,-5936597.781616,7404.833215,-2.804946
7998.511905,121173453.768616,-5952361.506653,7404.984501,-2.812343
8007.812500,121173524.887390,-5965523.366028,7405.028296,-2.818550
8018.092105,121178932.327026,-5966416.409668,7405.360631,-2.818846
8029.513889,121164016.720581,-5971809.360413,7404.467525,-2.821736
8042.279412,121174025.934631,-5988116.794922,7405.126779,-2.829196
8049.242424,121175770.597107,-6001118.278259,7405.272348,-2.835288
8060.515873,121169550.512390,-6007528.338806,7404.912521,-2.838457
8068.647541,121162488.105652,-6020029.483887,7404.519808,-2.844519
8081.896552,121168729.764221,-6026806.439636,7404.920848,-2.847570
8091.517857,121169776.222351,-6044025.080017,7405.036926,-2.855667
8101.851852,121157181.727234,-6053746.697815,7404.298738,-2.860550
8107.311321,121163649.499146,-6052730.253967,7404.689924,-2.859918
8118.872549,121169113.116638,-6070095.887451,7405.075949,-2.867980
8131.377551,121169403.505676,-6074406.096313,7405.106818,-2.870006
8138.020833,121163602.633179,-6083310.097717,7404.780427,-2.874344
8152.173913,121158907.603943,-6100923.253540,7404.548204,-2.882763
8159.722222,121153612.454956,-6111535.029846,7404.258017,-2.887895
8167.613636,121162520.299255,-6110830.530884,7404.798869,-2.887351
8175.872093,121155693.130127,-6118275.524536,7404.405593,-2.891025
8190.524194,121152797.574036,-6136850.652710,7404.286351,-2.899857
8203.125000,121152916.824585,-6145073.410339,7404.319028,-2.903733
8209.745763,121141202.868958,-6226209.954163,7403.857505,-2.942289
8216.594828,121143405.200378,-6183041.073425,7403.856976,-2.921871
8231.026786,121148123.100403,-6181036.956543,7404.138334,-2.920813
8238.636364,121147521.896729,-6198930.413513,7404.157417,-2.929268
8246.527778,121140202.956726,-6211499.494751,7403.750521,-2.935374
8258.928571,121139424.362671,-6208217.484497,7403.692804,-2.933844
8272.058824,121145929.704041,-6218710.867981,7404.122157,-2.938637
8281.250000,121135023.961670,-6231221.763733,7403.496569,-2.944803
8290.816327,121140119.955383,-6244286.909607,7403.848211,-2.950843
8300.781250,121146071.015015,-6249338.634827,7404.226842,-2.953081
8311.170213,121132686.967407,-6265090.324829,7403.460603,-2.960838
8322.010870,121131477.721985,-6277022.941101,7403.424548,-2.966497
8333.333333,121145838.515442,-6286360.939026,7404.329428,-2.970550
8342.161017,121142919.837036,-6306780.436707,7404.216213,-2.980254
8351.293103,121115709.748962,-6304963.117554,7402.551870,-2.980065
8360.745614,121136593.963440,-6330911.119568,7403.907348,-2.991792
8370.535714,121126448.160217,-6317796.146851,7403.247183,-2.985855
8380.681818,121124157.991394,-6350416.909363,7403.211567,-3.001300
8391.203704,121127982.899231,-6345379.102905,7403.428615,-2.998829
8398.437500,121124150.780518,-6363659.458557,7403.253491,-3.007548
8413.461538,121119047.907104,-6390189.608215,7403.027595,-3.020190
8425.245098,121120301.760498,-6391767.615723,7403.109096,-3.020903
8429.276316,121126381.332153,-6388896.501038,7403.470426,-3.019397
8437.500000,121122215.763306,-6392033.664734,7403.226614,-3.020981
8450.255102,121103244.389282,-6407586.149841,7402.120363,-3.028791
