Barrido en f -> f_inicial:5000, f_final:500000, step: 10
Parametros -> M:128,	N:128, Modo:0,	Fuente:1
Formato -> f,x,y,r,phi

5430.640244,121504459.916138,-3346833.933960,7419.082941,-1.577857
5440.848214,121489517.963501,-3344628.712036,7418.167569,-1.577012
5450.581395,121504721.359863,-3362054.048340,7419.124530,-1.585025
5460.349462,121497366.474304,-3379893.509155,7418.705980,-1.593528
5468.750000,121504426.260559,-3396429.349060,7419.164856,-1.601227
5480.410448,121481355.924500,-3403355.744141,7417.769088,-1.604795
5489.864865,121482580.832886,-3403767.491821,7417.844528,-1.604973
5501.760563,121482716.284851,-3418411.716309,7417.877880,-1.611873
5508.814103,121489208.850403,-3432106.456909,7418.297568,-1.618240
5519.701087,121509354.976257,-3436812.999939,7419.534853,-1.620190
5530.196629,121504489.172729,-3437551.418091,7419.239252,-1.620602
5539.772727,121471865.514954,-3458423.516785,7417.284945,-1.630875
5550.986842,121489265.552063,-3471323.874451,7418.369009,-1.636721
5558.894231,121480333.353149,-3477632.924255,7417.835046,-1.639814
5567.528736,121483844.395691,-3525338.759583,7418.133154,-1.662248
5580.357143,121477390.571106,-3498699.403320,7417.692408,-1.649782
5593.039773,121457516.498718,-3516503.309326,7416.511227,-1.658444
5598.958333,121467783.384705,-3518213.205811,7417.140645,-1.659110
5608.974359,121483064.887878,-3525575.018616,7418.086013,-1.662370
5619.517544,121468352.723267,-3545422.669373,7417.223650,-1.671926
5629.595588,121475247.553589,-3543136.989624,7417.640242,-1.670754
5642.361111,121484019.098999,-3568745.040710,7418.221135,-1.682701
5649.038462,121454627.701294,-3601322.891235,7416.486614,-1.698463
5661.231884,121470111.839783,-3581461.827087,7417.395479,-1.688887
5670.362903,121475342.158264,-3603602.257080,7417.754532,-1.699248
5681.818182,121466229.153320,-3590743.592712,7417.175313,-1.693315
5690.586420,121456391.769348,-3597461.512878,7416.587259,-1.696619
5701.013514,121455054.936218,-3605524.203552,7416.520285,-1.700438
5709.134615,121461886.365356,-3607972.924133,7416.941508,-1.701496
5719.866071,121465575.803711,-3649979.322144,7417.243168,-1.721242
5729.166667,121458792.009888,-3631025.905273,7416.794633,-1.712405
5739.795918,121458848.097778,-3665612.923767,7416.861439,-1.728706
5750.868056,121457864.372375,-3676178.438843,7416.820904,-1.733699
5761.718750,121472790.080811,-3674669.500549,7417.728723,-1.732775
5770.596591,121455917.802673,-3686274.523132,7416.720815,-1.738486
5779.109589,121459093.754211,-3688549.195862,7416.918789,-1.739512
5790.441176,121442967.917542,-3705919.048157,7415.967232,-1.747931
5800.189394,121459836.560364,-3710415.737854,7417.004740,-1.749808
5809.294872,121435294.170532,-3733180.674866,7415.550011,-1.760892
5821.078431,121451558.175354,-3726806.995728,7416.530306,-1.757652
5830.223881,121457517.274292,-3731563.991272,7416.902771,-1.759808
5836.925287,121458375.895935,-3746304.784607,7416.982838,-1.766743
5859.375000,121451798.930054,-3780528.148376,7416.646288,-1.782969
5882.352941,121447150.106567,-3814647.023010,7416.427762,-1.799118
5889.423077,121432052.665344,-3789551.367920,7415.458777,-1.787512
5899.234694,121443512.480591,-3797365.450317,7416.172801,-1.791027
5909.455128,121427849.743408,-3825436.446594,7415.271014,-1.804490
5918.560606,121435883.618774,-3826290.005188,7415.762775,-1.804773
5929.969880,121446014.399170,-3834955.577271,7416.397496,-1.808707
5941.901408,121432392.715881,-3843605.825745,7415.583168,-1.812987
5952.380952,121418896.920410,-3865884.334839,7414.802986,-1.823691
5958.686441,121438193.900635,-3871972.227905,7415.992052,-1.826271
5967.881944,121444229.121094,-3867480.343079,7416.351505,-1.824063
