----- Barrido de N desde 1 a 1024-----
frecuencia: 200 | Fuente: Highspeed_ADC 
 
Formato: N,X,Y,R,phi 
57,-3429.26466557018,-3701.7735745614,0.307998045753694,-132.811536544114 
58,-3629.57839439655,-3904.24771012931,0.325373626587346,-132.912027010425 
59,-3090.81077860169,-4142.28919491525,0.315459669058759,-126.728830227666 
60,-2965.71888020833,-2941.57734375,0.254959202848398,-135.234151191538 
61,-3268.61654713115,-3987.0434170082,0.314683390075763,-129.345229659164 
62,-2485.00655241935,-4027.56691028226,0.288857669828565,-121.674562821755 
63,-2775.7785218254,-3583.27728174603,0.276658814127438,-127.763081429899 
64,-3243.66491699219,-2954.25329589844,0.267791701430689,-137.673482877071 
65,-3258.58413461538,-4137.94711538462,0.321480170372254,-128.220011411636 
66,-2597.9140625,-3450.40388257576,0.263623713991025,-126.977203222129 
67,-3330.23554104478,-4020.0927005597,0.318632029357857,-129.638272397558 
68,-2443.47897518382,-3770.29917279412,0.274230471052548,-122.946716852835 
69,-2829.62341485507,-3793.86730072464,0.288881174304491,-126.717101181841 
70,-2998.43738839286,-3762.93638392857,0.293678251401138,-128.549044685762 
71,-3141.04379401408,-3554.33065580986,0.289520286802949,-131.467772400105 
72,-3207.97417534722,-4389.58799913194,0.331850481573756,-126.159872946483 
73,-3108.61547517123,-3884.0676369863,0.303652093701457,-128.672051385555 
74,-2849.77459881757,-3518.97951858108,0.276386729818364,-129.001584855545 
75,-3520.7825,-2985.94729166667,0.281775536339584,-139.69899101403 
76,-3006.71021792763,-3845.10680509868,0.297927889913473,-128.023897469604 
77,-2827.07071834416,-3715.58390827922,0.284970936097594,-127.266362889275 
78,-3292.99709535256,-3859.06470352564,0.309646098619771,-130.474617668452 
79,-2963.74515427215,-3122.36876977848,0.262763991390887,-133.507026528088 
80,-3010.25029296875,-3841.64384765625,0.297894635399951,-128.081678088316 
81,-3189.05063657407,-3516.19010416667,0.289740336150268,-132.20683258627 
82,-3324.98618521341,-4371.42625762195,0.335231070744433,-127.257277733675 
83,-3301.75037650602,-4418.48371611446,0.336670779147511,-126.769243581263 
84,-3095.01283482143,-3911.99441964286,0.304468929819464,-128.349629482288 
85,-2854.834375,-3775.97876838235,0.288932092428814,-127.09115774997 
86,-3228.36046511628,-4048.68068677326,0.316064080173762,-128.568360644974 
87,-3038.8588362069,-3957.02774784483,0.304529656734154,-127.523001424506 
88,-2990.59543678977,-3681.89968039773,0.289524300248994,-129.084971187866 
89,-3661.34436446629,-3752.62113764045,0.320008702222234,-134.294640679995 
90,-3330.26354166667,-3615.0484375,0.300009400326844,-132.65196478157 
91,-3493.14182692308,-3860.10319368132,0.317758723529916,-132.143042403743 
92,-3081.81428328804,-3747.64835258152,0.296155034180032,-129.431583189736 
93,-3119.0046202957,-3241.9939516129,0.274590038290112,-133.892329308296 
94,-2997.50955784574,-4163.19622672872,0.313122086770903,-125.753962253564 
95,-2989.32393092105,-3609.30904605263,0.286049254137622,-129.632441041666 
96,-3564.95532226563,-3873.04028320313,0.321296847210522,-132.628140102439 
97,-3451.23799935567,-4064.00910115979,0.325432154702334,-130.338582886055 
98,-2529.95599489796,-4074.74386160714,0.292750079906951,-121.835613369581 
99,-3576.42889835859,-4283.23942550505,0.340589757826768,-129.861282247681 
100,-2938.715859375,-3738.3165625,0.290237678291218,-128.171127063114 
101,-2644.22254022277,-3810.9624845297,0.283118012585291,-124.754707157589 
102,-3434.75160845588,-3654.34773284314,0.306110088207715,-133.225739475839 
103,-3212.92786711165,-4007.16785497573,0.313496846862667,-128.722470535005 
104,-2636.46213942308,-4106.17638221154,0.297843248262178,-122.703396521458 
105,-3093.11584821429,-3389.47291666667,0.280078737318095,-132.382497083212 
106,-2921.51481426887,-4124.83151533019,0.308520751044887,-125.30898568301 
107,-2885.36959696262,-3299.93173189252,0.267554623099194,-131.165556394656 
108,-3179.814453125,-4007.94769965278,0.312273792289044,-128.427683614875 
109,-2800.46982511468,-4527.75494552752,0.324950885836904,-121.737279717903 
110,-2754.22819602273,-4024.76420454545,0.297673604458532,-124.38463190711 
111,-3085.94566441441,-4148.89161036036,0.315605434499327,-126.641871336967 
112,-3015.73116629464,-3802.21170479911,0.29621164249378,-128.419756940564 
113,-2912.06678650442,-3907.94925331858,0.297471414340209,-126.692187666686 
114,-2584.86444627193,-4249.49136513158,0.303592150408196,-121.311153785123 
115,-3079.43485054348,-3802.61426630435,0.298662524221198,-129.001260642547 
116,-2848.37789601293,-4390.14473329741,0.319420357382391,-122.975984716935 
117,-3395.41773504273,-3853.6922409188,0.31349391029116,-131.382687028754 
118,-3053.8515625,-3398.12347722458,0.278861383847141,-131.94564240123 
119,-3067.27737657563,-3810.80711659664,0.298585469388654,-128.83021158806 
120,-3272.60891927083,-3597.47102864583,0.296841836606733,-132.292699158093 
121,-2761.65179493802,-4305.11053719008,0.312189270562327,-122.679449425953 
122,-2898.80795338115,-3583.9435835041,0.281351786836199,-128.967037455574 
123,-2618.91361788618,-3660.34521087398,0.274712939671403,-125.583064059311 
124,-3271.99300655242,-4061.63627772177,0.318346689663463,-128.854395270468 
125,-2889.5945625,-3851.39125,0.293885299901127,-126.879904151343 
126,-3553.42367311508,-4214.06677827381,0.336452849902983,-130.138560723211 
127,-2989.49883120079,-3967.5703125,0.30321774062389,-126.997422311815 
128,-2881.47937011719,-3624.63385009766,0.282627722247261,-128.483686882957 
129,-2867.00357315891,-3855.75890261628,0.293273737540846,-126.633164623683 
130,-3292.00438701923,-3636.22524038462,0.299389078432076,-132.15566615927 
131,-2963.1757514313,-3824.25739503817,0.295291490742742,-127.769845599277 
132,-3190.39470880682,-3959.12322443182,0.310349534480871,-128.863036017092 
133,-3138.44830827068,-3521.59562969925,0.287920705631407,-131.707446034678 
134,-2963.02384561567,-3999.96210354478,0.303834452222935,-126.529678105252 
135,-2969.10167824074,-4330.70428240741,0.320491224577595,-124.434272612415 
136,-2954.68100873162,-4218.14579503676,0.314342981291465,-125.010056785423 
137,-3262.24281478102,-3755.37226277372,0.30362496218092,-130.980419625817 
138,-2998.28810009058,-3518.86967844203,0.282174444559189,-130.432989066485 
139,-2868.42586555755,-4256.67755170863,0.31329993683787,-123.974649602865 
140,-3375.49280133929,-4085.43387276786,0.323465804774021,-129.564412140224 
141,-3151.84097960993,-3865.66566932624,0.304436305607203,-129.191818935308 
142,-2755.47276628521,-4156.02338248239,0.304360962020626,-123.544658401949 
143,-3133.01655375874,-3396.98126092657,0.282062851935607,-132.685170144629 
144,-3281.56081814236,-3773.34982638889,0.305226660064915,-131.012433374674 
145,-2704.2786637931,-4072.08399784483,0.298364227336343,-123.588211688175 
146,-2651.62681934932,-4019.31121575342,0.293904416755191,-123.413702531022 
147,-3136.95663265306,-3624.890625,0.292598055162868,-130.872697989354 
148,-3000.41796875,-3526.54639991554,0.282615486651742,-130.39144093242 
149,-3231.57875419463,-4055.56538380872,0.316515121925327,-128.548737875695 
150,-3022.01505208333,-3726.03578125,0.292824534604822,-129.043907922936 
151,-3122.54635761589,-3847.85192466887,0.302464512883248,-129.059460077371 
152,-2676.58233963816,-3781.25364925987,0.282766612000552,-125.29299012165 
153,-2984.10911968954,-3596.86422589869,0.285261322346889,-129.680521080315 
154,-3202.2677049513,-4218.71398133117,0.323277695374187,-127.200771241556 
155,-2744.07232862903,-3530.16083669355,0.272911033255296,-127.858715480022 
156,-2983.53841145833,-3947.08253205128,0.302000424992341,-127.08506848014 
157,-2629.77766719745,-3756.96745621019,0.279910039453669,-124.991001243617 
158,-2961.01893789557,-3924.85042523734,0.30008919741837,-127.031941992098 
159,-2925.09173545597,-3817.76120283019,0.293558634147795,-127.458608682455 
160,-2995.47036132812,-3918.37094726563,0.301046022102957,-127.396765978063 
161,-2923.24495341615,-3559.43172554348,0.281134384163487,-129.395143545132 
162,-3100.27464313272,-4031.86873070988,0.310435912467076,-127.55820881195 
163,-2796.54447852761,-4317.04773773006,0.313955595230825,-122.934801321158 
164,-2997.26724466463,-3589.7207507622,0.285439969926162,-129.860474690348 
165,-2914.87064393939,-3687.97054924242,0.286923318607443,-128.321875768759 
166,-2861.74576430723,-4180.17804028615,0.309208244323518,-124.395503092904 
167,-3160.96290232036,-3776.22380239521,0.300582082503644,-129.931683656817 
168,-3037.35300409226,-4140.53915550595,0.313433132043287,-126.262454001501 
169,-2928.17973372781,-4259.37902181953,0.315488455100244,-124.507213623009 
170,-2933.67798713235,-3385.65363051471,0.273437105013503,-130.909017607853 
171,-2693.34900402047,-4009.28298611111,0.294806140919805,-123.892346085078 
172,-2856.1769622093,-3904.70439680233,0.295285864455907,-126.184377551719 
173,-3384.80626806358,-3719.2973265896,0.306950587015036,-132.304264766371 
174,-3022.18633261494,-4032.37728987069,0.307578594965202,-126.85082668297 
175,-3099.99977678571,-4113.90455357143,0.314410028322259,-126.999558850076 
176,-2889.6649946733,-4176.65398615057,0.309997172548981,-124.677857846691 
177,-2957.95692090395,-4096.7014036017,0.308418018583874,-125.830557670952 
178,-2620.03581460674,-4016.5743943118,0.292707080030081,-123.116653680814 
179,-2845.37853526536,-3712.89503317039,0.285518678210955,-127.464764603383 
180,-2745.54691840278,-3625.49223090278,0.277582389608707,-127.136261751 
181,-2905.00707872928,-3782.05300414365,0.291083175955339,-127.527982267851 
182,-2935.50583791209,-3640.54872081044,0.285447040730789,-128.88048575406 
183,-3038.35954576503,-3746.11945013661,0.294405021447483,-129.044420508027 
184,-2929.3039232337,-3727.40951936141,0.289359268946318,-128.163166328367 
185,-2951.88872466216,-3964.38188344595,0.301685743867079,-126.671462377312 
186,-3267.30741767473,-4120.99773185484,0.320998551825528,-128.408921104445 
187,-3245.85874832888,-4212.75112800802,0.324604892637313,-127.613688319321 
188,-2923.36199301862,-3999.73046875,0.302388315055635,-126.16268648696 
189,-3057.48726851852,-3722.06349206349,0.294005791647339,-129.40137733712 
190,-2809.39358552632,-3640.63244243421,0.280683341738204,-127.656555548334 
191,-2717.45095713351,-3675.2890625,0.278988518722058,-126.4786390095 
192,-2957.47884114583,-4080.45747884115,0.30759759569266,-125.93426182724 
193,-2946.95834682643,-3762.84196891192,0.291725939972054,-128.067108294103 
194,-3188.88853092783,-3839.52375966495,0.30464109212365,-129.711080180043 
195,-2922.83465544872,-3881.12411858974,0.296555043734185,-126.983027394371 
196,-3232.14999202806,-3773.13855229592,0.303246309693805,-130.584055991296 
197,-3167.39847715736,-3451.23980805838,0.285920938354944,-132.544366273763 
198,-3032.92743844697,-4083.26294191919,0.310460014037763,-126.603877356594 
199,-2918.00730213568,-3796.73170540201,0.292277078198624,-127.544355384643 
200,-3142.827734375,-3969.8665234375,0.309049940473587,-128.367633874913 
201,-3136.94861629353,-4021.56366604478,0.311309266968386,-127.955373151105 
202,-3160.74655785891,-3487.12550278465,0.287265677224812,-132.189306141515 
203,-3050.53032635468,-3942.52770935961,0.304263631690442,-127.730907925296 
204,-3040.57532935049,-3974.48023897059,0.305438851400894,-127.416879326475 
205,-2833.12217987805,-3686.65076219512,0.283792439296943,-127.541604279508 
206,-2777.58555825243,-3646.50811589806,0.279786684137381,-127.296925558004 
207,-2920.14402173913,-4243.62696256039,0.314418332232705,-124.53281607744 
208,-3087.34622896635,-3479.65099158654,0.283934855455118,-131.581279853173 
209,-2867.80749102871,-3770.48628139952,0.289143424366788,-127.256384027282 
210,-2959.09367559524,-4026.87399553571,0.305013835164517,-126.309800881135 
211,-2734.62211196682,-3561.13088714455,0.27405425273118,-127.520959166404 
212,-3149.93101415094,-3650.93440448113,0.294318628319632,-130.78676841235 
213,-2707.54779196009,-3534.51478139671,0.271759468626891,-127.453233133357 
214,-2920.0625,-3751.28095794393,0.290159445920396,-127.897812118347 
215,-3119.60530523256,-3855.0863372093,0.302694558462616,-128.980407941333 
216,-2980.98162615741,-3987.79839409722,0.303893182077818,-126.779057516458 
217,-2984.24125144009,-3954.0885656682,0.30236751191034,-127.042691406906 
218,-3105.75379873853,-3692.97846186927,0.294523676245094,-130.063462089805 
219,-2770.47331621005,-3946.26013127854,0.294300298803886,-125.070787594499 
220,-3090.56022727273,-3886.24886363636,0.303068884395607,-128.493663193766 
221,-3299.422864819,-3826.41749151584,0.308388969322175,-130.770365656776 
222,-2898.72378237613,-4152.63228462838,0.309108690166062,-124.916770551402 
223,-3134.45130325112,-3586.10348934978,0.290711338859543,-131.155241421234 
224,-3057.17511858259,-3851.71003069196,0.300150680235327,-128.439696215173 
225,-2847.57440972222,-3764.51899305556,0.288106906003656,-127.104754119076 
226,-2949.53245990044,-3918.14287195796,0.299340285156447,-126.972009133341 
227,-2761.51283727974,-4033.66502615639,0.298373064613221,-124.396177562937 
228,-2909.81160910088,-3983.26247258772,0.301088775284349,-126.148488284548 
229,-3231.36241129913,-4110.56069186681,0.319139057767968,-128.171324616953 
230,-3010.85645380435,-3866.16069972826,0.299096683751505,-127.910448466443 
231,-3123.93638392857,-3880.91626082251,0.304087442562464,-128.832262448417 
232,-3056.81307246767,-3881.46976023707,0.301561875853743,-128.221850040726 
233,-3168.51059549356,-3866.19333422747,0.305105188619809,-129.336082826354 
234,-2969.86715411325,-3956.94981971154,0.301979457902838,-126.889860992943 
235,-3063.07732712766,-4098.25475398936,0.312293297833993,-126.774812681675 
236,-3217.67230534958,-3752.28171345339,0.301704651825658,-130.613887163131 
237,-2798.00679061181,-3940.58478375527,0.294986617357312,-125.376603914366 
238,-3146.83055409664,-3928.61843487395,0.307232642651767,-128.694791523827 
239,-3149.86038833682,-3938.54674424686,0.307821317172948,-128.651140770369 
240,-3159.39765625,-3942.43935546875,0.308370603645296,-128.708037719304 
241,-3059.99889782158,-3891.67271784232,0.302171526995607,-128.177757543455 
242,-3032.87093233471,-3789.65641141529,0.296264169679526,-128.670369737623 
243,-3060.33011831276,-4041.78854809671,0.30943827342179,-127.131994777242 
244,-2954.57396260246,-3674.78742955943,0.28780472200051,-128.799706548535 
245,-3111.43249362245,-3672.46071428571,0.293790263008451,-130.272395146061 
246,-2941.51616488821,-3826.32837906504,0.294583815204627,-127.551528937757 
247,-3025.49263031377,-4029.37756199393,0.307553232693167,-126.901367434377 
248,-2997.93016003024,-3728.23705267137,0.292005441431538,-128.803272458351 
249,-3115.53162650602,-3704.35394703815,0.295439193970159,-130.065375167523 
250,-3353.78734375,-3155.9996875,0.281090042410889,-136.740289307612 
251,-2697.86183391434,-4137.22011952191,0.301470041035875,-123.10818211937 
252,-3344.72386532738,-3830.69866071429,0.310398477168673,-131.125406259719 
253,-2931.3800951087,-3833.47319664032,0.294553460250258,-127.404419090493 
254,-3209.76002706693,-4019.63481176181,0.313970198025774,-128.60807573306 
255,-2631.20205269608,-3767.28630514706,0.28047602973657,-124.931769999779 
256,-3121.60293579102,-4072.556640625,0.313198558237807,-127.470060879087 
257,-2878.55204280156,-3985.50835967899,0.300078363764375,-125.838874918325 
258,-2929.84838299419,-4175.80296148256,0.311356659553402,-125.054465308006 
259,-2684.63908663127,-3810.84142736487,0.284525485572195,-125.163703833971 
260,-2834.02034254808,-3950.13701923077,0.296738194140156,-125.65749605741 
261,-3048.96402059387,-3805.86874401341,0.297650566622226,-128.698974872805 
262,-2974.4323413645,-4020.54577170802,0.30525855041619,-126.494336000812 
263,-3160.542003327,-3785.38557509506,0.300994636580675,-129.859607656938 
264,-3336.20815577652,-3948.05974786932,0.315493854163705,-130.198636846974 
265,-2940.52700471698,-3966.69725825472,0.301385609192638,-126.549673810832 
266,-3237.50469924812,-3693.44487194549,0.299784185078188,-131.236321964598 
267,-2980.50108263109,-4208.09796348315,0.314749123851223,-125.309082966997 
268,-2873.94755713619,-3789.15858208955,0.290277696529115,-127.179076695673 
269,-2883.46668796468,-4075.03993378253,0.304698428474122,-125.282929098066 
270,-2850.2203125,-3626.7671875,0.281546745966646,-128.163257964717 
271,-3343.44499538745,-4152.64636185424,0.325408585702647,-128.838792142118 
272,-3114.31772748162,-3939.90107996324,0.306535878570668,-128.32481253716 
273,-2939.22999656593,-3643.98489010989,0.28575299584445,-128.88956936026 
274,-3039.21350364964,-3897.46236313869,0.301667595427933,-127.946852870751 
275,-2990.50568181818,-3893.9334375,0.299677726999974,-127.523936847378 
276,-3018.47121263587,-4103.74657495471,0.310940957074239,-126.33598224065 
277,-2957.10345216606,-3818.03883686823,0.294764450869156,-127.758085690494 
278,-3084.12407261691,-4187.74454811151,0.317445465433595,-126.370317245432 
279,-2841.91252240143,-3983.2659890233,0.298663026095189,-125.50644898592 
280,-2955.6693359375,-3891.10493861607,0.29824987731507,-127.220173361791 
281,-2857.55902468861,-3915.41870551601,0.295863671200782,-126.122793406185 
282,-2910.70151817376,-3746.96168550532,0.289600588556771,-127.840648980694 
283,-3064.3921985424,-3809.1007619258,0.298393924841261,-128.816409396985 
284,-3362.09595070423,-3580.48013864437,0.299787636782261,-133.19831029988 
285,-2670.90940241228,-4059.04084429825,0.296576919306323,-123.345512626372 
286,-2970.50508085664,-4157.89693509615,0.311898613559015,-125.542957831201 
287,-3013.48734211672,-3970.83081990418,0.304259611531773,-127.195080868674 
288,-2922.50268554688,-3858.71706814236,0.295451449965535,-127.139442369691 
289,-3416.12843317474,-3875.57655709343,0.315331837894684,-131.394576681246 
290,-3279.7510237069,-3915.91082974138,0.311773868893119,-129.947684911348 
291,-3364.21893792955,-3919.65939110825,0.315282636212347,-130.639284408182 
292,-2992.38265196918,-3806.60126819349,0.295538744465111,-128.171012870024 
293,-3221.40251706485,-4192.68392704778,0.322723866667763,-127.536477353931 
294,-2841.62558460884,-4149.37096088435,0.306962901514681,-124.404624891829 
295,-3366.63903601695,-3699.34917902542,0.305303744428567,-132.304153787641 
296,-3228.82540646115,-3873.56667018581,0.307797481675292,-129.813018044188 
297,-2810.56981271044,-3750.7858270202,0.286078736696053,-126.845257421851 
298,-2885.00159920302,-3895.23500419463,0.295863310730557,-126.525458208243 
299,-2846.33664297659,-3700.13210702341,0.284936402572706,-127.569381730503 
300,-2961.03109375,-4078.04622395833,0.307605781918351,-125.983049388078 
301,-2795.91196013289,-3805.27419019934,0.288216489073015,-126.306455838807 
302,-2776.78815707781,-3976.63785699503,0.296040245949103,-124.925647214527 
303,-2907.82662953795,-3533.57497937294,0.279317615480007,-129.451426259625 
304,-3006.73612253289,-3977.87826377467,0.304353722134722,-127.084332376483 
305,-3037.85819672131,-3869.06408811475,0.300251508826506,-128.137803669642 
306,-2942.24433210784,-3836.70348243464,0.295113168104168,-127.483436605258 
307,-3204.98730150651,-3885.93256311075,0.307449804925843,-129.514672540697 
308,-3037.91535612825,-3589.75390625,0.287037981257257,-130.240369579064 
309,-3202.50695287217,-3651.196197411,0.296436916258806,-131.254380088707 
310,-2805.93944052419,-3813.09858870968,0.288963823202115,-126.34818384394 
311,-3022.36909666399,-3951.57629119775,0.303653311771517,-127.410621298616 
312,-2885.03267728365,-4036.27594150641,0.302825664601458,-125.556269824908 
313,-3447.05670926518,-3920.72321785144,0.318647558757379,-131.321579178877 
314,-3198.50771297771,-3955.4538714172,0.310486303822022,-128.96012240379 
315,-2923.82700892857,-3803.61785714286,0.292826796457062,-127.549348516312 
316,-3099.96902195411,-3813.21828026108,0.299954825240092,-129.109505599322 
317,-2928.52383182177,-3729.93429613565,0.289451043825815,-128.136906976283 
318,-2975.73457154088,-3716.51778694969,0.290599681143349,-128.683492435305 
319,-3210.61015869906,-3833.95763126959,0.305229335515306,-129.943280918137 
320,-2754.43173828125,-3830.60205078125,0.287978362360988,-125.718391601342 
321,-2736.94774630062,-3977.25720404984,0.294685929979615,-124.533786901765 
322,-2868.3653435559,-3608.6507181677,0.28136595877971,-128.479718274036 
323,-3171.2455253483,-3583.09515286378,0.292056676466187,-131.510678591716 
324,-2824.27138792438,-3471.61250964506,0.273160963512781,-129.129492531279 
325,-2989.90754807692,-4081.87610576923,0.308833200395362,-126.222167071384 
326,-3053.92724309816,-3798.66288822853,0.297497156265672,-128.797470249141 
327,-2816.82917622324,-3999.30119935015,0.298576082041733,-125.158198603108 
328,-2937.44150152439,-3871.15775057165,0.296607413166926,-127.191292550553 
329,-3537.18301196808,-3816.867068769,0.317627978176892,-132.822016897682 
330,-3105.89850852273,-3977.47502367424,0.308021809468381,-127.9852775656 
331,-2979.94307024169,-4069.07264916918,0.307843355709371,-126.216795172191 
332,-3201.80591114458,-3907.50202371988,0.308343489214735,-129.331179868828 
333,-2889.15019707207,-3742.13297672673,0.288562137464456,-127.67028502928 
334,-2804.16446014222,-3619.69049401198,0.279476889925169,-127.764847380212 
335,-2863.80538712687,-3822.90473414179,0.291549899707218,-126.837528558812 
