----- Barrido de N desde 1 a 1024-----
frecuencia: 200 | Fuente: Highspeed_ADC 
 
Formato: N,X,Y,R,phi 
88,-7443.62524414063,-9839.52392578125,0.753068664453089,-127.107599434349 
89,-7153.0068359375,-10677.5888671875,0.784453720252714,-123.818464144455 
90,-8838.50390625,-11564.3977050781,0.888407273237783,-127.390162673372 
91,-9099.87182617188,-9939.26586914063,0.822521499633752,-132.475588833603 
92,-8149.828125,-10310.1088867188,0.802162156914019,-128.325300190496 
93,-10373.1081542969,-11767.6560058594,0.957482136014933,-131.395955666847 
94,-8459.59716796875,-11638.60546875,0.878216277023261,-126.011776018922 
95,-8692.06884765625,-10384.0341796875,0.826550831582766,-129.931383340963 
96,-10118.9829101563,-13227.7990722656,1.01653390971866,-127.415214302975 
97,-9093.71630859375,-10969.3754882813,0.869692652847277,-129.659053608826 
98,-10068.8989257813,-11871.0109863281,0.950108650881626,-130.304349779599 
99,-8948.45190429688,-11965.7387695313,0.911995389976137,-126.790590835986 
100,-9285.39868164063,-14236.9750976563,1.03746790011845,-123.11251348175 
101,-10007.23828125,-12428.0739746094,0.973921793405945,-128.841445783708 
102,-9710.33325195313,-9787.49194335938,0.841526680350571,-134.77326474881 
103,-11441.0009765625,-12983.4028320313,1.05624954120233,-131.386568022189 
104,-9756.4140625,-11687.5520019531,0.929260273809116,-129.854105334033 
105,-9566.89819335938,-12554.3134765625,0.96341153978606,-127.308876992821 
106,-9476.81762695313,-13089.4299316406,0.986353784961,-125.904740464956 
107,-9411.27758789063,-13923.1086425781,1.02575811205776,-124.056592341557 
108,-8328.8408203125,-13717.4890136719,0.979523582960845,-121.26484667066 
109,-10798.205078125,-12694.5139160156,1.01723629318946,-130.385147267207 
110,-9596.95068359375,-13462.3103027344,1.00911612242115,-125.48413841716 
111,-8795.0048828125,-15658.8234863281,1.09620661686033,-119.321374872005 
112,-10587.1140136719,-13685.9499511719,1.05612071725149,-127.724653801984 
113,-10031.7653808594,-13494.9577636719,1.02634832107645,-126.626056440331 
114,-9952.66748046875,-13174.3063964844,1.00779112535449,-127.069604389403 
115,-9630.49560546875,-13195.0270996094,0.997082601017475,-126.124134827437 
116,-9113.07373046875,-14185.4453125,1.02911196336629,-122.717671767155 
117,-10425.3442382813,-14743.7978515625,1.1021659497802,-125.264143036814 
118,-12479.1923828125,-14048.8298339844,1.14694366925671,-131.613812038351 
119,-11595.853515625,-13830.388671875,1.10161838032076,-129.977576981752 
120,-9646.02001953125,-16451.5229492188,1.16402941689623,-120.384371428848 
121,-10162.9990234375,-13870.5783691406,1.04955189542734,-126.230303920503 
122,-11718.8967285156,-14196.3276367188,1.12359231511948,-129.539260845061 
123,-11916.4011230469,-14757.814453125,1.15776413970406,-128.91961964407 
124,-11100.5278320313,-14977.6828613281,1.13789882550358,-126.543544470502 
125,-9853.51196289063,-14034.8850097656,1.04669090447859,-125.071651697229 
126,-12096.3559570313,-15882.7758789063,1.21857835990528,-127.292975794249 
127,-12851.4147949219,-13359.1545410156,1.13145228064044,-133.890229888823 
128,-9786.97412109375,-14165.302734375,1.05090196287312,-124.641050692103 
129,-13255.2749023438,-16999.5007324219,1.31574824458285,-127.945144257964 
130,-12228.0473632813,-15947.9458007813,1.22661952551194,-127.479095885778 
131,-12422.49609375,-16317.9711914063,1.25177178168195,-127.281183815012 
132,-14255.98828125,-18046.1999511719,1.40371679577799,-128.307739181006 
133,-9856.58642578125,-16523.8791503906,1.17437330625689,-120.816313047271 
134,-13048.7705078125,-13788.849609375,1.15874369449496,-133.420401464685 
135,-13094.359375,-15430.3337402344,1.23523824017268,-130.318320570714 
136,-11066.0871582031,-18298.5617675781,1.30524442992949,-121.163524383299 
137,-13921.6857910156,-16808.0314941406,1.33212263706533,-129.634130354832 
138,-12858.0598144531,-16905.4943847656,1.29640881414712,-127.256062118198 
139,-14972.2622070313,-18103.5183105469,1.43392315079993,-129.591974713083 
140,-13269.6726074219,-16614.1013183594,1.29782640900602,-128.614340759703 
141,-14539.9226074219,-15055.0388183594,1.27750282835875,-134.002836850669 
142,-12347.5651855469,-17895.4978027344,1.3270621548075,-124.604963460667 
143,-13608.7995605469,-17857.5476074219,1.37040196426069,-127.31013739456 
144,-13962.8583984375,-18848.9201660156,1.43176143052905,-126.530220082466 
145,-13271.6616210938,-19689.7150878906,1.44931997598483,-123.981558128624 
146,-14731.6083984375,-17191.3110351563,1.3818671378848,-130.5939909439 
147,-10614.8176269531,-19207.7932128906,1.33950000233987,-118.926390497927 
148,-13637.5234375,-18830.8330078125,1.41913670302945,-125.91252333871 
149,-14926.1625976563,-20331.3815917969,1.53948310118328,-126.28403198994 
150,-13654.2573242188,-19319.2236328125,1.4439753275426,-125.25154260704 
151,-14684.9809570313,-18613.0131835938,1.44709610362048,-128.272137569211 
152,-13338.9453125,-19830.2536621094,1.45872910650143,-123.926998346023 
153,-14686.919921875,-18472.6489257813,1.44045344170829,-128.486911605742 
154,-14051.5639648438,-18197.7243652344,1.40332538655951,-127.673902118057 
155,-14026.2607421875,-20416.8608398438,1.51192551916768,-124.488831396566 
156,-17473.4387207031,-20480.1909179688,1.64319917115076,-130.470389491339 
157,-15053.7138671875,-19721.8698730469,1.51436577599778,-127.354513474021 
158,-13697.9040527344,-18888.6901855469,1.42415884851267,-125.949276248137 
159,-13977.9140625,-19051.1066894531,1.44223998382372,-126.267725819525 
160,-15522.306640625,-19800.3959960938,1.53565753625476,-128.094288617886 
161,-15676.3586425781,-20402.2106933594,1.57044160190463,-127.537439318262 
162,-14381.7829589844,-20370.9953613281,1.52203016480239,-125.221829347968 
163,-14286.833984375,-20622.3732910156,1.53128233029711,-124.713567192627 
