----- Barrido de N desde 1 a 2048-----
frecuencia: 2000 | Fuente: Highspeed_ADC 
 
Formato: N,X,Y,R,phi 
69,-2525.92255434783,-2445.14288949275,0.214577968831199,-135.930972765333 
70,-2772.83247767857,-3976.409375,0.295890643612195,-124.888860998704 
71,-1498.69465228873,-2583.43122799296,0.1822974832754,-120.118786874281 
72,-2073.80794270833,-2444.97124565972,0.195685899073537,-130.304382525962 
73,-2760.52204623288,-2139.12296660959,0.213161064639796,-142.227967650255 
74,-1580.53758445946,-2810.51192989865,0.196810802144681,-119.351940029413 
75,-3741.608125,-2728.88875,0.282664439260506,-143.895389814711 
76,-2306.04399671053,-2761.38949424342,0.219590046114457,-129.86535037673 
77,-2668.45515422078,-2092.85724431818,0.206992940548628,-141.893071322399 
78,-1979.09495192308,-2708.77994791667,0.204763557909684,-126.152696036 
79,-2762.79282041139,-2717.34671677215,0.236529256451479,-135.475135756625 
80,-1886.2859375,-3362.91025390625,0.235346904721968,-119.288450218953 
81,-1936.71141975309,-2850.46942515432,0.210343406925514,-124.193597509418 
82,-2260.72179878049,-2658.86156631098,0.213021888402655,-130.373160912699 
83,-2413.86031626506,-2781.84647966867,0.224806818770329,-130.948788724546 
84,-2173.86579241071,-2382.11495535714,0.196840024943268,-132.382890875531 
85,-2393.1609375,-2191.87830882353,0.198079466326462,-137.51366334774 
86,-2530.39007994186,-1897.1625181686,0.193036263009688,-143.139233733594 
87,-2214.23239942529,-2279.58656609195,0.193972343047741,-134.166799109123 
88,-2810.93323863636,-2766.7373046875,0.240738088663438,-135.453986565412 
89,-2537.72884480337,-2416.71304424157,0.21389595438129,-136.399212334751 
90,-2325.034375,-2960.59861111111,0.229769550848208,-128.14346040961 
91,-2816.12860576923,-2475.50369162088,0.228857884209189,-138.683075459196 
92,-2343.78040081522,-2352.94819972826,0.202709736607718,-134.888161407078 
93,-3296.46244959677,-2491.33568548387,0.252204919319065,-142.919456952221 
94,-2264.37608045213,-2750.89394946808,0.217473592769611,-129.459227318635 
95,-2485.40682565789,-1807.37590460526,0.187571980479327,-143.9755321573 
96,-2322.94189453125,-2164.45377604167,0.193795362982519,-137.022760646958 
97,-2380.18741945876,-2738.87371134021,0.221478787340802,-130.991906339967 
98,-2358.13241390306,-2288.46189413265,0.200568111641675,-135.859022193879 
99,-2795.64172979798,-2925.9990530303,0.24700832541751,-133.694844219305 
100,-2029.072265625,-3168.93671875,0.229675207335144,-122.631462192247 
101,-1972.77854269802,-2754.84444616337,0.206815750311285,-125.606924518124 
102,-2556.74111519608,-3042.6027879902,0.242574021177156,-130.040799095105 
103,-2484.0109223301,-3887.00136529126,0.28155927546725,-122.580849499594 
104,-3087.12244591346,-2601.61155348558,0.246416565254956,-139.878146484799 
105,-1991.51785714286,-2641.10431547619,0.201898569968028,-127.018025067535 
106,-2933.79304245283,-2553.85067806604,0.237411995655489,-138.960608686015 
107,-2478.39091705607,-3403.21283586449,0.256967148408367,-126.063992070424 
108,-2165.41232638889,-2598.47952835648,0.206455913479479,-129.805736609201 
109,-2245.75523222477,-2377.99620126147,0.199641279831504,-133.361766496071 
110,-2400.99950284091,-3341.80980113636,0.251161891953773,-125.696218324999 
111,-2343.82467623874,-2399.79532657658,0.204747419776731,-134.32399027936 
112,-2420.84172712054,-2048.21700613839,0.193552492490541,-139.766228338935 
113,-2909.39795353982,-2277.30586283186,0.22551273344563,-141.948246867384 
114,-2658.67468475877,-2974.62664473684,0.243513647239479,-131.789845479122 
115,-2525.9875,-2966.73335597826,0.237826102931494,-130.412312494659 
116,-2310.7748518319,-2648.22252155172,0.214523744045861,-131.107163177976 
117,-1836.02711004274,-2533.63521634615,0.190981535203563,-125.929385593136 
118,-2319.90406514831,-2714.58938029661,0.217953873770904,-130.517395102734 
119,-2390.17351628151,-2930.92528886555,0.230839814715017,-129.197290120311 
120,843.1369140625,2173.20247395833,0.142278965020085,68.7952511595198 
121,-1495.95880681818,-2610.11040805785,0.183624767383411,-119.818749277591 
122,-2512.79220030738,-2479.95299692623,0.215489996094425,-135.376850920591 
123,-3280.13535315041,-2745.62455538618,0.261091098797638,-140.069114275345 
124,-2469.64459425403,-2787.54265372984,0.227313023851193,-131.53958198918 
125,-2808.80725,-2810.683125,0.242535476080754,-134.980873760923 
126,-2993.67819940476,-2747.36117311508,0.248009433473314,-137.456746061096 
127,-3084.55800935039,-3056.96315206693,0.265068825114646,-135.257437559421 
128,-3318.02313232422,-3861.75549316406,0.31076435204155,-130.669195679123 
129,-2613.95046027132,-2962.31589147287,0.241139120408088,-131.42521331444 
130,-1928.84741586538,-2526.32956730769,0.194005504020399,-127.361659293574 
131,-2201.62541746183,-3210.55265982824,0.237612049424504,-124.44024676109 
132,-1981.51444128788,-2608.32682291667,0.199934843179065,-127.223498927158 
