Datos provenientes de SR865 
F,X,Y,R,T,
+1.240000e+04,+2.848159e-01,-4.490321e-01,+5.317423e-01,-5.761351e+01,
+1.250000e+04,+2.816115e-01,-4.474548e-01,+5.286973e-01,-5.781520e+01,
+1.260000e+04,+2.784853e-01,-4.459218e-01,+5.257379e-01,-5.801456e+01,
+1.270000e+04,+2.754020e-01,-4.443797e-01,+5.227997e-01,-5.821164e+01,
+1.280000e+04,+2.723356e-01,-4.427885e-01,+5.198350e-01,-5.840654e+01,
+1.290000e+04,+2.693604e-01,-4.412707e-01,+5.169864e-01,-5.859928e+01,
+1.300000e+04,+2.664060e-01,-4.397148e-01,+5.141219e-01,-5.878996e+01,
+1.310000e+04,+2.634895e-01,-4.381466e-01,+5.112721e-01,-5.897844e+01,
+1.320000e+04,+2.606014e-01,-4.365488e-01,+5.084171e-01,-5.916456e+01,
+1.330000e+04,+2.577897e-01,-4.350056e-01,+5.056534e-01,-5.934849e+01,
+1.340000e+04,+2.549927e-01,-4.334222e-01,+5.028678e-01,-5.953067e+01,
+1.350000e+04,+2.522518e-01,-4.318617e-01,+5.001354e-01,-5.971066e+01,
+1.360000e+04,+2.495580e-01,-4.303187e-01,+4.974469e-01,-5.988894e+01,
+1.370000e+04,+2.468959e-01,-4.287614e-01,+4.947666e-01,-6.006515e+01,
+1.380000e+04,+2.442773e-01,-4.272166e-01,+4.921234e-01,-6.023959e+01,
+1.390000e+04,+2.416248e-01,-4.255448e-01,+4.893577e-01,-6.041204e+01,
+1.400000e+04,+2.390823e-01,-4.240021e-01,+4.867629e-01,-6.058263e+01,
+1.410000e+04,+2.365516e-01,-4.224164e-01,+4.841407e-01,-6.075133e+01,
+1.420000e+04,+2.340852e-01,-4.208864e-01,+4.816027e-01,-6.091841e+01,
+1.430000e+04,+2.316470e-01,-4.193440e-01,+4.790718e-01,-6.108359e+01,
+1.440000e+04,+2.292225e-01,-4.177692e-01,+4.765229e-01,-6.124720e+01,
+1.450000e+04,+2.268671e-01,-4.162597e-01,+4.740684e-01,-6.140903e+01,
+1.460000e+04,+2.245434e-01,-4.147497e-01,+4.716324e-01,-6.156910e+01,
+1.470000e+04,+2.221973e-01,-4.131386e-01,+4.691004e-01,-6.172741e+01,
+1.480000e+04,+2.199202e-01,-4.115993e-01,+4.666679e-01,-6.188411e+01,
+1.490000e+04,+2.176612e-01,-4.100362e-01,+4.642264e-01,-6.203910e+01,
+1.500000e+04,+2.154794e-01,-4.085615e-01,+4.619024e-01,-6.219239e+01,
+1.510000e+04,+2.132889e-01,-4.070184e-01,+4.595172e-01,-6.234422e+01,
+1.520000e+04,+2.111256e-01,-4.054736e-01,+4.571465e-01,-6.249450e+01,
+1.530000e+04,+2.089930e-01,-4.039336e-01,+4.547971e-01,-6.264321e+01,
+1.540000e+04,+2.069219e-01,-4.024605e-01,+4.525385e-01,-6.279040e+01,
+1.550000e+04,+2.048401e-01,-4.009142e-01,+4.502129e-01,-6.293604e+01,
+1.560000e+04,+2.028165e-01,-3.994313e-01,+4.479731e-01,-6.308021e+01,
+1.570000e+04,+2.007920e-01,-3.978950e-01,+4.456881e-01,-6.322286e+01,
+1.580000e+04,+1.988152e-01,-3.964032e-01,+4.434670e-01,-6.336404e+01,
+1.590000e+04,+1.968555e-01,-3.948967e-01,+4.412431e-01,-6.350380e+01,
+1.600000e+04,+1.949449e-01,-3.934424e-01,+4.390904e-01,-6.364225e+01,
+1.610000e+04,+1.930444e-01,-3.919601e-01,+4.369197e-01,-6.377927e+01,
+1.620000e+04,+1.911780e-01,-3.905013e-01,+4.347876e-01,-6.391497e+01,
+1.630000e+04,+1.893387e-01,-3.890528e-01,+4.326791e-01,-6.404939e+01,
+1.640000e+04,+1.875260e-01,-3.876128e-01,+4.305922e-01,-6.418243e+01,
+1.650000e+04,+1.857041e-01,-3.861081e-01,+4.284454e-01,-6.431411e+01,
+1.660000e+04,+1.839468e-01,-3.846948e-01,+4.264112e-01,-6.444460e+01,
+1.670000e+04,+1.821927e-01,-3.832433e-01,+4.243461e-01,-6.457372e+01,
+1.680000e+04,+1.804579e-01,-3.817893e-01,+4.222891e-01,-6.470161e+01,
