Datos provenientes de SR865 
F,X,Y,R,T,
+3.280000e+04,+5.909067e-02,-2.265734e-01,+2.341521e-01,-7.538277e+01,
+3.300000e+04,+5.845049e-02,-2.253673e-01,+2.328237e-01,-7.546031e+01,
+3.320000e+04,+5.782243e-02,-2.241821e-01,+2.315190e-01,-7.553712e+01,
+3.340000e+04,+5.720161e-02,-2.229962e-01,+2.302159e-01,-7.561303e+01,
+3.360000e+04,+5.659593e-02,-2.218417e-01,+2.289473e-01,-7.568807e+01,
+3.380000e+04,+5.599878e-02,-2.206955e-01,+2.276891e-01,-7.576237e+01,
+3.400000e+04,+5.540558e-02,-2.195384e-01,+2.264219e-01,-7.583585e+01,
+3.420000e+04,+5.482667e-02,-2.184091e-01,+2.251855e-01,-7.590836e+01,
+3.440000e+04,+5.425460e-02,-2.172826e-01,+2.239538e-01,-7.598014e+01,
+3.460000e+04,+5.368748e-02,-2.161524e-01,+2.227200e-01,-7.605125e+01,
+3.480000e+04,+5.314030e-02,-2.150762e-01,+2.215438e-01,-7.612150e+01,
+3.500000e+04,+5.259779e-02,-2.139924e-01,+2.203617e-01,-7.619085e+01,
+3.520000e+04,+5.206576e-02,-2.129300e-01,+2.192032e-01,-7.625961e+01,
+3.540000e+04,+5.153622e-02,-2.118536e-01,+2.180320e-01,-7.632760e+01,
+3.560000e+04,+5.102059e-02,-2.108133e-01,+2.168994e-01,-7.639500e+01,
+3.580000e+04,+5.051139e-02,-2.097743e-01,+2.157699e-01,-7.646151e+01,
+3.600000e+04,+5.000642e-02,-2.087316e-01,+2.146381e-01,-7.652740e+01,
+3.620000e+04,+4.951020e-02,-2.077030e-01,+2.135224e-01,-7.659259e+01,
+3.640000e+04,+4.902306e-02,-2.066917e-01,+2.124258e-01,-7.665715e+01,
+3.660000e+04,+4.854429e-02,-2.056948e-01,+2.113455e-01,-7.672108e+01,
+3.680000e+04,+4.806801e-02,-2.046857e-01,+2.102541e-01,-7.678423e+01,
+3.700000e+04,+4.760260e-02,-2.037018e-01,+2.091899e-01,-7.684672e+01,
+3.720000e+04,+4.714515e-02,-2.027322e-01,+2.081418e-01,-7.690861e+01,
+3.740000e+04,+4.669636e-02,-2.017802e-01,+2.071130e-01,-7.696988e+01,
+3.760000e+04,+4.624527e-02,-2.008008e-01,+2.060572e-01,-7.703068e+01,
+3.780000e+04,+4.581038e-02,-1.998704e-01,+2.050531e-01,-7.709075e+01,
+3.800000e+04,+4.537419e-02,-1.989146e-01,+2.040241e-01,-7.715018e+01,
+3.820000e+04,+4.494632e-02,-1.979783e-01,+2.030162e-01,-7.720914e+01,
+3.840000e+04,+4.452450e-02,-1.970473e-01,+2.020151e-01,-7.726736e+01,
+3.860000e+04,+4.411020e-02,-1.961325e-01,+2.010315e-01,-7.732507e+01,
+3.880000e+04,+4.370312e-02,-1.952314e-01,+2.000631e-01,-7.738218e+01,
+3.900000e+04,+4.329496e-02,-1.943118e-01,+1.990767e-01,-7.743900e+01,
+3.920000e+04,+4.289507e-02,-1.934097e-01,+1.981093e-01,-7.749515e+01,
+3.940000e+04,+4.250251e-02,-1.925218e-01,+1.971575e-01,-7.755065e+01,
+3.960000e+04,+4.211731e-02,-1.916490e-01,+1.962224e-01,-7.760555e+01,
+3.980000e+04,+4.173081e-02,-1.907569e-01,+1.952682e-01,-7.766013e+01,
+4.000000e+04,+4.136057e-02,-1.899198e-01,+1.943714e-01,-7.771400e+01,
+4.020000e+04,+4.098792e-02,-1.890562e-01,+1.934483e-01,-7.776742e+01,
+4.040000e+04,+4.062321e-02,-1.882131e-01,+1.925472e-01,-7.782033e+01,
+4.060000e+04,+4.026223e-02,-1.873739e-01,+1.916508e-01,-7.787288e+01,
+4.080000e+04,+3.990626e-02,-1.865402e-01,+1.907610e-01,-7.792481e+01,
+4.100000e+04,+3.955720e-02,-1.857231e-01,+1.898890e-01,-7.797623e+01,
+4.120000e+04,+3.920927e-02,-1.848958e-01,+1.890075e-01,-7.802715e+01,
+4.140000e+04,+3.886558e-02,-1.840751e-01,+1.881334e-01,-7.807769e+01,
+4.160000e+04,+3.853312e-02,-1.832932e-01,+1.872997e-01,-7.812778e+01,
+4.180000e+04,+3.820185e-02,-1.825015e-01,+1.864569e-01,-7.817735e+01,
+4.200000e+04,+3.787218e-02,-1.817051e-01,+1.856099e-01,-7.822658e+01,
+4.220000e+04,+3.754614e-02,-1.809116e-01,+1.847667e-01,-7.827536e+01,
+4.240000e+04,+3.722300e-02,-1.801193e-01,+1.839252e-01,-7.832376e+01,
+4.260000e+04,+3.690696e-02,-1.793458e-01,+1.831038e-01,-7.837162e+01,
+4.280000e+04,+3.659858e-02,-1.785971e-01,+1.823084e-01,-7.841912e+01,
+4.300000e+04,+3.628770e-02,-1.778232e-01,+1.814879e-01,-7.846622e+01,
+4.320000e+04,+3.598154e-02,-1.770581e-01,+1.806771e-01,-7.851284e+01,
+4.340000e+04,+3.568101e-02,-1.763069e-01,+1.798812e-01,-7.855900e+01,
+4.360000e+04,+3.538630e-02,-1.755722e-01,+1.791028e-01,-7.860478e+01,
