Barrido en f -> f_inicial:10, f_final:40000, step: 10
Parametros -> M:512,	N:32, Modo:0,	Fuente:1
Formato -> f,x,y,r,phi

439.989698,121293108.697937,-6068787.468140,7412.630809,-2.864437
449.984681,121274419.035278,-6215782.119446,7411.945309,-2.934149
460.002413,121255313.081665,-6377898.465088,7411.293833,-3.011010
470.003342,121237423.333801,-6518452.648926,7410.659046,-3.077693
480.005297,121222664.563538,-6668308.493347,7410.256277,-3.148689
490.166506,121201512.116638,-6825234.317444,7409.499502,-3.223195
500.000000,121183750.023499,-6997881.272217,7409.017110,-3.305031
509.982639,121163149.672852,-7139990.448242,7408.267015,-3.372567
519.987825,121139350.893188,-7298173.168701,7407.391278,-3.447782
529.993719,121116860.743774,-7453911.152588,7406.598864,-3.521824
539.981618,121096806.278137,-7606495.922729,7405.955128,-3.594324
550.017960,121073783.209106,-7758988.663086,7405.142068,-3.666882
559.986888,121051837.924805,-7905140.162231,7404.381299,-3.736435
570.050837,121031039.011597,-8065186.624390,7403.757601,-3.812514
580.018939,121004291.900024,-8186767.227966,7402.625878,-3.870667
590.006510,120991236.527283,-8326042.840027,7402.409592,-3.936734
599.979575,120967122.646667,-8470024.963745,7401.549877,-4.005388
609.756098,120937966.597778,-8628567.518250,7400.457003,-4.081090
620.039683,120914305.503357,-8774364.581238,7399.655219,-4.150619
630.040323,120892711.670227,-8930306.279541,7399.035760,-4.224872
640.007062,120868250.402222,-9094996.841858,7398.294253,-4.303364
651.041667,120833267.707886,-9274816.830505,7396.996929,-4.389384
660.021552,120812168.035278,-9433811.538147,7396.462014,-4.465104
669.967297,120787794.228577,-9571708.806885,7395.638965,-4.531013
679.976852,120761067.526672,-9728376.977417,7394.774464,-4.605874
690.026198,120738024.746155,-9820555.404480,7393.826541,-4.650208
699.963873,120691415.713013,-10104900.949524,7392.418830,-4.786074
710.227273,120683288.372009,-10152328.788086,7392.166597,-4.808755
720.214844,120654581.912170,-10284653.139709,7391.102200,-4.872285
729.955808,120630716.196655,-10427923.256897,7390.398770,-4.940798
740.003882,120596932.707153,-10584614.042725,7389.174446,-5.016060
750.000000,120565507.096191,-10776869.330078,7388.299173,-5.108017
760.198353,120544294.358337,-10859008.986511,7387.457682,-5.147642
769.981971,120513688.557312,-11016972.135376,7386.468633,-5.223431
778.853528,120486320.095215,-11158023.484497,7385.594006,-5.291125
790.028090,120451380.289246,-11341713.185181,7384.513098,-5.379275
800.075301,120413922.667480,-11521146.891907,7383.271945,-5.465557
809.832317,120382985.004517,-11667599.788208,7382.249164,-5.536018
820.014313,120352063.311462,-11830480.177246,7381.336544,-5.614244
830.078125,120319973.541565,-11978106.448181,7380.274449,-5.685351
840.053763,120289360.751404,-12119060.381165,7379.272584,-5.753262
849.971065,120259070.963257,-12248471.751953,7378.229281,-5.815733
859.958022,120228329.316101,-12367640.938354,7377.103320,-5.873414
870.028409,120197995.415222,-12502038.536743,7376.105693,-5.938274
879.979396,120165851.286865,-12630419.010315,7374.969236,-6.000403
890.031646,120130706.394714,-12769988.297119,7373.731477,-6.067979
899.969363,120099940.867493,-12913429.364563,7372.795011,-6.137181
909.978693,120064764.692383,-13068285.793762,7371.677027,-6.212011
919.950181,120029138.132629,-13226473.608093,7370.566565,-6.288458
930.059524,119985195.289917,-13406710.799988,7369.114082,-6.375765
939.849624,119946572.479736,-13595848.145020,7368.062535,-6.467020
950.168919,119912019.538696,-13743675.572815,7366.988930,-6.538598
960.010593,119872121.404419,-13902852.093079,7365.682514,-6.615842
969.107824,119838808.668823,-14041514.265930,7364.642882,-6.683073
976.562500,119816438.978271,-14142294.704224,7364.005303,-6.731846
