Barrido en f -> f_inicial:10, f_final:40000, step: 10
Parametros -> M:512,	N:32, Modo:0,	Fuente:1
Formato -> f,x,y,r,phi

950.168919,120007075.510071,-13774162.691406,7372.965114,-6.547831
960.010593,119908835.773865,-13887137.702515,7367.798124,-6.606424
969.107824,119870411.069092,-13994457.283447,7366.225084,-6.659137
976.562500,119841887.631104,-14080477.215332,7365.106666,-6.701278
989.940068,119819081.004150,-14246683.860474,7364.915029,-6.780927
1000.000000,119720732.936096,-14456855.570801,7360.481060,-6.885607
1010.237069,119727026.313416,-14476188.788940,7361.003973,-6.894367
1019.965278,119654909.753052,-14586440.669128,7357.445325,-6.950510
1029.829545,119598372.071594,-14731650.186462,7355.098083,-7.022301
1039.975649,119604519.022461,-14957468.523926,7357.168127,-7.128483
1050.067204,119582447.266968,-15056848.031006,7356.586662,-7.176664
1060.267857,119531245.051819,-15309846.097900,7355.431825,-7.299055
1069.972826,119448637.970215,-15474295.029175,7351.713434,-7.381644
1079.963235,119400261.811890,-15641485.417236,7350.103720,-7.463493
1090.116279,119443201.621765,-15801987.274536,7353.980888,-7.536522
1100.035920,119348190.215820,-15946151.502747,7349.391961,-7.610461
1110.197368,119325646.064209,-16065635.442993,7348.997620,-7.668241
1120.174632,119255901.474854,-16175959.002502,7345.680769,-7.724727
1129.748775,119234376.073792,-16273340.525635,7345.180266,-7.772050
1139.322917,119186400.566772,-16364530.671997,7343.033938,-7.818172
1149.970794,119191602.284485,-16494091.026489,7344.428306,-7.878956
1160.272277,119087846.141052,-16641740.895630,7339.397007,-7.955425
1168.224299,119060926.526978,-16753962.551514,7338.721061,-8.010165
1180.013021,119039077.904968,-16932890.376465,7338.930555,-8.096050
1189.834770,118990288.998596,-17134228.208557,7337.723752,-8.194329
1200.112952,118970699.403992,-17226530.072754,7337.345491,-8.239205
1210.088315,118871461.339478,-17477195.994141,7333.560793,-8.364292
1220.703125,118842205.021179,-17655330.439819,7333.383924,-8.450370
1229.745370,118781204.151733,-17814505.247620,7331.135754,-8.529755
1240.079365,118731233.480469,-17924561.999817,7329.119199,-8.585227
