Barrido en f -> f_inicial:1000, f_final:250000, step: 10
Parametros -> M:128,	N:32, Modo:0,	Fuente:1
Formato -> f,x,y,r,phi

1420.454545,121669909.820068,-1441180.829590,7426.889549,-0.678657
1429.966518,121666728.929443,-1473376.029785,7426.718946,-0.693835
1439.950980,121598055.731445,-1470930.644043,7422.525839,-0.693074
1450.047348,121630245.114502,-1566139.345459,7424.562986,-0.737735
1460.040984,121672147.794189,-1541677.853271,7427.101322,-0.725963
1469.947735,121696669.500000,-1584618.036621,7428.631596,-0.746031
1480.007764,121689124.662109,-1530720.100098,7428.129014,-0.720703
1490.012887,121594797.223877,-1621971.956543,7422.444204,-0.764255
1500.000000,121679734.149658,-1655179.539795,7427.655332,-0.779355
1509.978992,121663875.465088,-1661586.342529,7426.692784,-0.782474
1519.941634,121687781.020508,-1686113.591064,7428.172363,-0.793867
1529.947917,121635065.231934,-1723507.119385,7424.987044,-0.811822
1539.963942,121619115.672852,-1690778.301025,7423.985590,-0.796512
1550.099206,121617244.092529,-1779219.207031,7423.948368,-0.838183
1557.707055,121579865.768555,-1738115.233398,7421.630863,-0.819073
1569.976077,121653049.061035,-1795292.535156,7426.147974,-0.845505
1580.056180,121650312.611572,-1781401.239502,7425.968505,-0.838983
1589.912281,121589070.370117,-1803554.760254,7422.250794,-0.849842
1600.150602,121652202.385498,-1818554.733643,7426.117388,-0.856465
1610.008446,121583750.633545,-1856427.068604,7421.974696,-0.874790
1619.983278,121653958.469727,-1936144.802734,7426.335309,-0.911823
1629.946043,121628533.820557,-1954477.564941,7424.801556,-0.920647
1640.028626,121569678.962402,-1924360.835205,7421.180373,-0.906902
1650.053879,121617099.631592,-1943655.152832,7424.093152,-0.915636
1660.156250,121584754.651855,-1962610.470215,7422.137746,-0.924810
1670.063406,121675915.299316,-2012042.246582,7427.750469,-0.947389
1680.107527,121671391.379883,-2043212.736328,7427.506081,-0.962099
1690.051020,121603533.159912,-2031202.387207,7423.352523,-0.956978
1699.942130,121578576.588867,-2055421.011230,7421.854301,-0.968585
1710.032189,121679995.601074,-2069099.526611,7428.057879,-0.974217
1719.916045,121603646.686768,-2165621.202637,7423.501008,-1.020294
1729.910714,121616573.322021,-2144447.074463,7424.266989,-1.010213
1740.056818,121597992.552490,-2139925.210205,7423.128189,-1.008237
1750.000000,121611950.523193,-2243610.623291,7424.094050,-1.056957
1759.958791,121654483.347168,-2208376.566162,7426.650341,-1.039999
1770.019531,121647690.000977,-2278796.800049,7426.315024,-1.073214
1780.063291,121557733.264648,-2302410.845947,7420.852453,-1.085135
1789.772727,121603649.449707,-2228192.840820,7423.570164,-1.049767
1799.938725,121575155.524658,-2295579.209473,7421.907781,-1.081761
1809.845560,121547832.454590,-2306375.239990,7420.252832,-1.087091
1819.957386,121553303.996582,-2340390.987061,7420.626416,-1.103071
1829.954955,121588027.059082,-2329846.577881,7422.733058,-1.097789
1840.009653,121655757.785889,-2409374.336182,7426.960912,-1.134620
1850.328947,121634994.414795,-2339915.036377,7425.611074,-1.102106
1860.119048,121636147.593506,-2415538.581787,7425.771660,-1.137705
1870.013298,121593945.013184,-2410438.444336,7423.190072,-1.135697
1880.013369,121646657.092285,-2437345.631836,7426.439546,-1.147874
1890.120968,121593720.955322,-2509181.546875,7423.298298,-1.182210
1900.337838,121582044.217041,-2577603.724365,7422.673081,-1.214555
1909.722222,121596702.245361,-2543439.443115,7423.523662,-1.198317
1920.021186,121563615.948975,-2552766.455322,7421.516545,-1.203037
1930.147059,121543585.745850,-2546311.416992,7420.285968,-1.200194
1940.016779,121621051.588379,-2609244.694092,7425.094613,-1.229065
