Barrido en f -> f_inicial:10000, f_final:500000, step: 10
Parametros -> M:128,	N:256, Modo:0,	Fuente:1
Formato -> f,x,y,r,phi

13822.115385,121722064.228271,-14307.575134,7429.551993,-0.006735
13839.285714,121725346.633667,-14903.566711,7429.752345,-0.007015
13849.431818,121726906.655548,-14790.248993,7429.847563,-0.006962
13860.887097,121725243.572571,-15351.157532,7429.746058,-0.007226
13888.888889,121721000.394073,-14216.813385,7429.487059,-0.006692
13916.015625,121726297.284943,-14512.179932,7429.810367,-0.006831
13926.630435,121723244.619415,-14653.011047,7429.624043,-0.006897
13950.892857,121726018.606293,-14159.475464,7429.793355,-0.006665
13967.803030,121725968.974487,-13851.363861,7429.790323,-0.006520
13980.263158,121723810.873474,-13906.032349,7429.658600,-0.006546
13997.395833,121726231.035217,-13180.157440,7429.806314,-0.006204
14008.620690,121725684.942688,-13585.433929,7429.772985,-0.006395
14016.544118,121727633.886353,-11942.308289,7429.891932,-0.005621
14062.500000,121724980.369263,-11441.665619,7429.729967,-0.005386
14105.902778,121726334.247375,-9929.658600,7429.812595,-0.004674
14112.903226,121725298.313446,-6626.637604,7429.749351,-0.003119
14122.596154,121727052.924103,-9104.971069,7429.856457,-0.004286
14136.904762,121723230.180389,-8181.453461,7429.623124,-0.003851
14160.156250,121728307.168701,-6824.164429,7429.933003,-0.003212
14178.240741,121723109.111084,-6368.763306,7429.615728,-0.002998
14204.545455,121723280.073761,-4928.704956,7429.626159,-0.002320
14229.910714,121728526.983124,-3638.712738,7429.946412,-0.001713
14246.323529,121723462.570984,-2860.642639,7429.637294,-0.001347
14266.304348,121723112.672180,-2051.613800,7429.615936,-0.000966
14278.017241,121723941.275208,-904.451599,7429.666511,-0.000426
14285.714286,121725681.080994,-347.445343,7429.772703,-0.000164
14322.916667,121727692.726471,1239.268127,7429.895488,0.000583
14364.919355,121724586.126434,3583.238342,7429.705874,0.001687
14375.000000,121724674.990112,3598.955353,7429.711298,0.001694
14391.447368,121723665.426270,5059.810883,7429.649680,0.002382
14404.296875,121727207.457489,5025.522919,7429.865875,0.002366
14423.076923,121722483.383942,6390.227264,7429.577535,0.003008
14441.287879,121723848.709595,6685.705597,7429.660872,0.003147
14453.125000,121725761.149109,6504.602692,7429.777601,0.003062
14467.592593,121725103.742340,6990.933990,7429.737476,0.003291
14476.102941,121727299.245087,7521.608582,7429.871485,0.003540
14508.928571,121726602.863831,7888.050354,7429.828982,0.003713
14547.413793,121724157.839569,8700.328339,7429.679748,0.004095
14559.659091,121727934.475677,8753.214935,7429.910263,0.004120
14583.333333,121723628.918152,9583.769775,7429.647468,0.004511
14605.978261,121723800.172638,8849.100098,7429.657918,0.004165
14616.935484,121724999.851929,8651.698486,7429.731142,0.004072
14648.437500,121726128.159271,8131.636871,7429.800008,0.003828
14678.030303,121722181.195038,3911.303253,7429.559084,0.001841
14687.500000,121722887.994781,7009.736969,7429.602234,0.003300
14705.882353,121722339.766174,6757.580109,7429.568771,0.003181
14723.557692,121725076.647552,6795.082855,7429.735822,0.003199
14756.944444,121723032.808899,5442.770599,7429.611068,0.002562
14787.946429,121723686.751862,4603.868317,7429.650980,0.002167
14802.631579,121721540.318146,3836.569122,7429.519967,0.001806
14816.810345,121722549.905090,2633.771576,7429.581587,0.001240
14843.750000,121723510.224792,921.986725,7429.640201,0.000434
