Barrido en f -> f_inicial:1000, f_final:500000, step: 1000
Parametros -> N:32, Modo:1,	Fuente:1
Formato -> f,x,y,r,phi
247999.953125,23924977.154264,-46236641.538760,0.397198,-63.143433
248999.968750,23770128.911284,-46102677.831128,0.395747,-63.227344
249999.984375,23624768.476562,-45957694.901562,0.394256,-63.296931
250999.921875,23488553.628235,-45833296.820392,0.392937,-63.381276
251999.937500,23344614.711811,-45696594.327559,0.391508,-63.454693
252999.968750,23219866.696203,-45746320.696994,0.391415,-63.604033
253999.984375,23065551.734921,-45475445.034127,0.389039,-63.620891
255000.000000,22954847.870120,-45414708.352988,0.388244,-63.701125
255999.937500,22804525.733600,-45264184.051200,0.386702,-63.776027
256999.953125,22665033.955823,-45177539.293976,0.385633,-63.886568
257999.968750,22539321.200806,-45111835.079032,0.384756,-63.980761
258999.984375,22404225.936032,-45019739.023482,0.383667,-64.071559
259999.937500,22272855.982941,-44767888.542648,0.381500,-64.077751
260999.953125,22161458.902936,-44713251.567700,0.380749,-64.164320
261999.968750,22028177.876331,-44652479.844390,0.379882,-64.270686
262999.968750,21903762.288651,-44650020.811678,0.379446,-64.397980
264000.000000,21762488.786304,-44415912.966172,0.377368,-64.439712
264999.937500,21646847.432947,-44195228.134106,0.375468,-64.447566
265999.968750,21511904.444722,-44177806.157107,0.374897,-64.579944
266999.968750,21393229.286906,-43947016.889074,0.372917,-64.586578
268000.000000,21304723.149079,-43963635.671692,0.372736,-64.688442
268999.937500,21155234.505467,-43935975.699748,0.372050,-64.832335
269999.937500,21056024.625316,-43751395.386498,0.370453,-64.843323
270999.968750,20934764.234547,-43595947.723116,0.368983,-64.907947
272000.000000,20795353.280374,-43430068.351742,0.367382,-64.972045
272999.937500,20712584.835324,-43439449.925768,0.367174,-65.065749
273999.937500,20593273.079623,-43283196.272260,0.365707,-65.114097
274999.968750,20453590.378007,-43085776.302405,0.363889,-65.163732
275999.968750,20356320.609146,-43171268.671268,0.364161,-65.313230
277000.000000,20233918.255411,-43037342.533333,0.362839,-65.377802
277999.937500,20100753.566840,-42727114.444444,0.360264,-65.379764
278999.968750,20029898.348736,-42762346.271142,0.360278,-65.475759
279999.968750,19891911.389326,-42606723.524934,0.358756,-65.547588
281000.000000,19812229.792619,-42731672.827768,0.359364,-65.699719
281999.937500,19674952.592952,-42456643.971806,0.357020,-65.710564
282999.937500,19553985.840849,-42312803.046861,0.355637,-65.771134
283999.968750,19454244.681455,-42169062.088731,0.354322,-65.808445
284999.968750,19385491.089127,-42310499.407308,0.355083,-65.958250
286000.000000,19243144.352994,-41990104.322609,0.352408,-65.970064
286999.937500,19176380.312108,-41944250.223318,0.351878,-66.021734
287999.968750,19072282.447345,-41852945.487849,0.350915,-66.092380
288999.968750,18929540.361337,-41772789.248419,0.349908,-66.213134
290000.000000,18852256.205616,-41504962.866848,0.347803,-66.162666
290999.937500,18741005.371818,-41476820.226364,0.347257,-66.275529
291999.937500,18661658.847628,-41431434.514599,0.346693,-66.343140
292999.968750,18563970.617216,-41361330.956960,0.345899,-66.419323
294000.000000,18454292.690257,-41312277.983456,0.345216,-66.520599
294999.937500,18386563.636866,-41084359.858986,0.343417,-66.498837
295999.937500,18264475.382054,-41041088.813136,0.342736,-66.618430
296999.968750,18166817.917363,-41027292.457753,0.342338,-66.725201
297999.968750,18115371.834110,-41036204.504194,0.342241,-66.789897
299000.000000,17967067.053221,-40587377.661998,0.338652,-66.731052
299999.937500,17884346.291471,-40557453.657919,0.338188,-66.813171
300999.968750,17805184.514581,-40563175.454374,0.337984,-66.909843
301999.968750,17708747.763928,-40560462.708215,0.337670,-67.022753
303000.000000,17665344.939394,-40397260.071970,0.336397,-66.989583
303999.937500,17535803.475783,-40179728.131054,0.334480,-67.049763
304999.937500,17436274.981888,-40197750.939943,0.334303,-67.178475
305999.968750,17343566.330784,-40009444.868069,0.332704,-67.191769
306999.968750,17260162.439539,-40008116.891555,0.332442,-67.291703
308000.000000,17217673.877767,-39861027.531280,0.331283,-67.266297
308999.937500,17110570.762548,-39715543.003861,0.329940,-67.320135
309999.968750,17032676.257752,-39731838.481589,0.329820,-67.423500
310999.968750,16903546.238095,-39558729.101069,0.328218,-67.490731
312000.000000,16819869.336585,-39659255.758049,0.328674,-67.645613
312999.937500,16790277.509286,-39283159.228739,0.325945,-67.505392
313999.937500,16666855.669284,-39350309.618253,0.326048,-67.692943
314999.968750,16569742.577756,-39183277.052165,0.324585,-67.725642
316000.000000,16555729.652174,-39269369.676877,0.325149,-67.788077
316999.937500,16427843.154609,-39168227.083251,0.324059,-67.894042
317999.937500,16318519.550149,-38745938.903674,0.320766,-67.808842
318999.968750,16273367.907278,-38858802.289133,0.321426,-67.925017
319999.968750,16163008.141000,-38787413.567000,0.320599,-68.026218
321000.000000,16092323.670010,-38660265.346038,0.319496,-68.048575
321999.937500,16071212.203424,-38782492.535750,0.320296,-68.139284
322999.968750,15949107.717457,-38441092.719475,0.317533,-68.136185
323999.968750,15875349.314777,-38314860.325911,0.316428,-68.163474
325000.000000,15820682.633503,-38244661.481218,0.315773,-68.196191
325999.937500,15724759.852192,-38377108.261978,0.316429,-68.388593
326999.937500,15634187.405930,-38303079.173824,0.315645,-68.465794
