Barrido en f -> f_inicial:1000, f_final:500000, step: 1000
Parametros -> N:32, Modo:1,	Fuente:1
Formato -> f,x,y,r,phi
90999.976562,75505776.790731,-57665606.104635,0.724873,-37.370959
91999.992188,74926202.685739,-57858451.554629,0.722262,-37.676641
92999.937500,74335332.689535,-58029753.039535,0.719502,-37.978439
93999.953125,73704643.048752,-58050499.144493,0.715813,-38.225442
94999.968750,73123451.607482,-58245229.601841,0.713260,-38.539609
95999.984375,72538131.111611,-58356039.854185,0.710302,-38.817397
96999.929688,71958442.830858,-58454145.926948,0.707333,-39.089213
97999.945312,71380875.242266,-58564755.676263,0.704453,-39.368479
98999.960938,70789573.948948,-58662720.562809,0.701448,-39.649424
99999.976562,70206738.829375,-58717693.700938,0.698299,-39.908740
100999.992188,69640045.974432,-58823515.800189,0.695508,-40.188278
101999.937500,69089725.233663,-58902998.838699,0.692699,-40.450710
102999.953125,68525894.655505,-59001603.076304,0.689922,-40.730040
103999.968750,67942876.696783,-58994399.829704,0.686521,-40.968798
104999.992188,67377542.241798,-59031363.293635,0.683456,-41.223731
105999.929688,66840194.626698,-59104056.106327,0.680745,-41.486241
106999.945312,66307502.053159,-59150216.771983,0.677940,-41.736081
107999.968750,65754121.147148,-59202707.579143,0.675063,-42.000002
108999.984375,65213164.847071,-59218701.966962,0.672084,-42.243173
110000.000000,64690024.563080,-59268814.131317,0.669392,-42.497078
110999.945312,64160091.439820,-59283872.974332,0.666495,-42.739169
111999.960938,63633249.635982,-59321295.090655,0.663743,-42.992757
112999.976562,63125311.030720,-59333586.531780,0.660978,-43.227778
113999.992188,62600966.664054,-59343548.142501,0.658121,-43.471144
114999.937500,62083178.869565,-59316759.659001,0.655118,-43.695879
115999.953125,61574510.321131,-59320246.011961,0.652336,-43.933054
116999.968750,61084871.620110,-59355262.669470,0.649837,-44.178550
117999.984375,60580081.001106,-59332565.787979,0.646959,-44.405253
118999.929688,60106016.004091,-59345897.843436,0.644451,-44.636726
119999.945312,59601661.181852,-59300723.746907,0.641476,-44.856310
120999.960938,59129573.125189,-59349860.357413,0.639193,-45.107860
121999.976562,58634722.826535,-59270560.611895,0.636104,-45.310317
122999.992188,58142745.289008,-59217820.289393,0.633182,-45.526183
123999.937500,57720883.953101,-59289128.339535,0.631321,-45.769219
124999.953125,57221503.233594,-59194551.152734,0.628150,-45.972326
125999.968750,56753233.197244,-59127645.023622,0.625304,-46.175194
126999.992188,56296316.568651,-59090582.914683,0.622690,-46.388600
127999.929688,55839050.254000,-59075410.532000,0.620205,-46.614582
128999.945312,55412912.155242,-59086457.223387,0.618038,-46.839002
129999.968750,54936901.183997,-58946325.405768,0.614776,-47.017735
130999.984375,54511623.979533,-58928624.841179,0.612469,-47.231181
132000.000000,54074893.539191,-58909512.877063,0.610104,-47.451600
132999.937500,53632317.438487,-58828990.265586,0.607372,-47.647078
133999.953125,53209480.104271,-58775856.504606,0.604902,-47.847030
134999.968750,52777816.871730,-58735464.323207,0.602468,-48.059563
136000.000000,52358686.076498,-58646452.841054,0.599828,-48.243416
136999.937500,51934655.138699,-58562283.259846,0.597198,-48.433928
137999.953125,51520022.806382,-58498631.423458,0.594739,-48.630908
138999.968750,51112102.057751,-58377982.310030,0.591994,-48.798082
139999.984375,50716047.986439,-58354872.287402,0.589875,-49.007636
140999.921875,50301465.029075,-58240384.395595,0.587143,-49.184704
141999.937500,49906719.091837,-58174051.657054,0.584795,-49.375617
142999.968750,49511344.782395,-58112595.047364,0.582478,-49.570800
143999.984375,49098139.245614,-57979671.856050,0.579664,-49.742992
145000.000000,48745786.560036,-57973892.630267,0.577897,-49.943576
145999.937500,48351029.943431,-57870269.852646,0.575356,-50.122477
146999.953125,47996048.975643,-57889664.483456,0.573738,-50.339517
