Datos provenientes de SR865 
F,X,Y,R,T,
+2.130000e+04,+1.257420e-01,-3.230601e-01,+3.466683e-01,-6.873292e+01,
+2.140000e+04,+1.247526e-01,-3.219335e-01,+3.452599e-01,-6.881813e+01,
+2.150000e+04,+1.237804e-01,-3.208255e-01,+3.438758e-01,-6.890245e+01,
+2.160000e+04,+1.228219e-01,-3.197321e-01,+3.425111e-01,-6.898621e+01,
+2.170000e+04,+1.218683e-01,-3.186279e-01,+3.411387e-01,-6.906922e+01,
+2.180000e+04,+1.209219e-01,-3.175206e-01,+3.397667e-01,-6.915157e+01,
+2.190000e+04,+1.199955e-01,-3.164427e-01,+3.384301e-01,-6.923321e+01,
+2.200000e+04,+1.190689e-01,-3.153426e-01,+3.370732e-01,-6.931417e+01,
+2.210000e+04,+1.181664e-01,-3.142889e-01,+3.357689e-01,-6.939474e+01,
+2.220000e+04,+1.172734e-01,-3.132347e-01,+3.344682e-01,-6.947437e+01,
+2.230000e+04,+1.163787e-01,-3.121583e-01,+3.331469e-01,-6.955355e+01,
+2.240000e+04,+1.154906e-01,-3.110777e-01,+3.318244e-01,-6.963206e+01,
+2.250000e+04,+1.146282e-01,-3.100456e-01,+3.305570e-01,-6.970994e+01,
+2.260000e+04,+1.137610e-01,-3.089834e-01,+3.292603e-01,-6.978738e+01,
+2.270000e+04,+1.129061e-01,-3.079311e-01,+3.279776e-01,-6.986401e+01,
+2.280000e+04,+1.120657e-01,-3.069005e-01,+3.267210e-01,-6.994018e+01,
+2.290000e+04,+1.112337e-01,-3.058723e-01,+3.254701e-01,-7.001567e+01,
+2.300000e+04,+1.104114e-01,-3.048520e-01,+3.242305e-01,-7.009061e+01,
+2.310000e+04,+1.095920e-01,-3.038220e-01,+3.229833e-01,-7.016505e+01,
+2.320000e+04,+1.087978e-01,-3.028417e-01,+3.217920e-01,-7.023885e+01,
+2.330000e+04,+1.080029e-01,-3.018390e-01,+3.205798e-01,-7.031196e+01,
+2.340000e+04,+1.072088e-01,-3.008215e-01,+3.193545e-01,-7.038461e+01,
+2.350000e+04,+1.064352e-01,-2.998459e-01,+3.181761e-01,-7.045685e+01,
+2.360000e+04,+1.056637e-01,-2.988563e-01,+3.169857e-01,-7.052842e+01,
+2.370000e+04,+1.048989e-01,-2.978691e-01,+3.158002e-01,-7.059955e+01,
+2.380000e+04,+1.041465e-01,-2.968984e-01,+3.146349e-01,-7.067007e+01,
+2.390000e+04,+1.033916e-01,-2.959071e-01,+3.134499e-01,-7.074030e+01,
+2.400000e+04,+1.026496e-01,-2.949323e-01,+3.122851e-01,-7.080982e+01,
+2.410000e+04,+1.019116e-01,-2.939544e-01,+3.111192e-01,-7.087897e+01,
+2.420000e+04,+1.011844e-01,-2.929873e-01,+3.099675e-01,-7.094743e+01,
+2.430000e+04,+1.004752e-01,-2.920547e-01,+3.088547e-01,-7.101532e+01,
+2.440000e+04,+9.976032e-02,-2.910927e-01,+3.077126e-01,-7.108290e+01,
+2.450000e+04,+9.906056e-02,-2.901575e-01,+3.066013e-01,-7.114995e+01,
+2.460000e+04,+9.835928e-02,-2.891994e-01,+3.054682e-01,-7.121637e+01,
+2.470000e+04,+9.767981e-02,-2.882906e-01,+3.043893e-01,-7.128238e+01,
